No.,Article Number,Article Title,Keyword,Client,Campaign Name,Editor,Copywriter,Article Type,Number of Words,Keyword Match in Content,Submit Date,Cost
1,H-124-9837-228911,Hawaiian Beachfront Resort in Kapa’a With Discounted Rates,Kauai Sands Hotel-id=125913,Hipmunk,Kapaa--HI--US--Hotel Properties,KZeedickEditor      5,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,206,0,2014-08-07 03:45:28,8.24
2,H-124-9837-228910,Affordable Kapa’a Hotel Near Lydgate Park,"Aston Aloha Beach Hotel-id=149368",Hipmunk,Kapaa--HI--US--Hotel Properties,KZeedickEditor      5,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,258,0,2014-08-07 03:36:50,10.32
3,H-124-9837-228909,Cheap Hawaiian Beachfront Hotel in Kapa’a,"Courtyard by Marriott Kauai at Coconut Beach-id=133064",Hipmunk,Kapaa--HI--US--Hotel Properties,KZeedickEditor      5,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,305,0,2014-08-07 03:30:31,12.2
4,H-127-9836-228908,"Score Cheap Flights to Kapa’a, Hawaii",Kapaa--HI--US--Flight Destination,Hipmunk,Kapaa--HI--US--Flight Destination,NHauptmanEdit      12,tamilamcdonald[1]      0      0,Hipmunk Copy (Tier 4),50,0,2014-08-07 03:22:29,2
5,H-127-9835-228907,Numerous Cheap Hotels and Resorts in Beautiful Kapa’a Area,Kapaa--HI--US--Hotel Destination,Hipmunk,Kapaa--HI--US--Hotel Destination,AlexStrineEdit      9,tamilamcdonald[1]      0      0,Hipmunk Copy (Tier 4),200,0,2014-08-07 03:24:36,8
6,H-14-9785-228857,BFI: Fly into the Closest Airport to Downtown Seattle,King County/Boeing Field--Seattle--WA--US--Near Airport-id=504f9e48bb290e74d0000588,Hipmunk,Seattle--WA--US--Near Airport,NHollandEditor      1,christinagreen[1]      5      5,SHAREBAIT,500,0,2014-08-04 11:33:54,30
7,H-14-9786-228856,Enjoy the Coastal View as You Fly Into Seattle,Seattle--WA--US--Flight Destination,Hipmunk,Seattle--WA--US--Flight Destination,KZeedickEditor      5,aliciabodine[1]      4      3,SHAREBAIT,750,0,2014-08-05 14:42:48,45
8,H-128-9791-228855,"Sparkling Seattle, The Real-Life Emerald City",Seattle--WA--US--Hotel Destination,Hipmunk,Seattle--WA--US--Hotel Destination,AlexStrineEdit      9,robertschrader[1]      0      0,.30 Per Word,1250,0,2014-08-02 11:21:19,375
9,H-14-9788-228848,Visiting West Seattle and the 12 Neighborhoods,West Seattle--Seattle--WA--US--Near Neighborhood,Hipmunk,Seattle--WA--US--Near Neighborhood,ShandaSilerEdit      2,lindamanning[1]      0      0,SHAREBAIT,300,0,2014-08-09 08:13:02,18
10,H-14-9788-228847,Swim in Glacial Green Lake in Seattle,"Green Lake--Seattle--WA--US--Near Neighborhood",Hipmunk,Seattle--WA--US--Near Neighborhood,ShandaSilerEdit      2,lindamanning[1]      0      0,SHAREBAIT,300,0,2014-08-08 17:47:10,18
11,H-14-9788-228846,Explore the Neighborhood of Magnolia in Seattle,"Magnolia--Seattle--WA--US--Near Neighborhood",Hipmunk,Seattle--WA--US--Near Neighborhood,ShandaSilerEdit      2,lindamanning[1]      0      0,SHAREBAIT,300,0,2014-08-05 13:08:54,18
