campaign_name,campaign_id,article_type,total_word,total_word_for_editor,total_article_for_editor,total_word_for_writer,total_article_for_writer,pay_total_words_for_editor,pay_total_words_for_writer,pay_total_articles_for_editor,pay_total_articles_for_writer,cost,article_type_name
CelebrityClothingLine.com Newsroom-STOPPED,887,0,20412,10206,30,10206,30,10206,10206,0,0,$408.24,Type 1 - old
Pronet Newsroom-STOPPED,888,0,26116,13058,43,13058,43,13058,13058,0,0,$522.32,Type 1 - old
HipHop Newsroom Monthly Recurring Content-STOPPED,889,0,9082,4541,15,4541,15,4541,4541,0,0,$181.64,Type 1 - old
SEJ Recurring Content-STOPPED,2595,1,72914,36457,116,36457,116,36457,36457,0,0,$1458.28,Type 2 - old
Pharmacology Recurring-STOPPED,4690,0,20240,10120,32,10120,32,10120,10120,0,0,$404.8,Type 1 - old
ABM Moving Quotes Jane June 11 Articles,4763,16,5360,2680,6,2680,6,2680,2680,0,0,$120.6,Articles
ABM Pharmacology June/July11 Blog Posts,4764,17,3884,1942,4,1942,4,1942,1942,0,0,$58.26,Blog Posts
ABM RV Insurance Blog Posts June/July 11 Jane,4765,17,3260,1630,4,1630,4,1630,1630,0,0,$48.9,Blog Posts
ABM Moving Quotes June 11,5024,9,8180,4090,15,4090,15,4090,4090,0,0,$122.7,BGN
ABM Poker Tables June 11,5025,9,12322,6161,23,6161,23,6161,6161,0,0,$184.83,BGN
ABM RV Quotes June 11,5026,9,5748,2874,11,2874,11,2874,2874,0,0,$86.22,BGN
ABM Sojones June 11,5032,9,64274,32137,120,32137,120,32137,32137,0,0,$964.11,BGN
