Campaign Name,Campaign ID,Domain,Number of Keywords,Campaign Keywords,Mapping-ID,Optional Field 1,Optional Field 2,Optional Field 3,Optional Field 4,1
,1523,africanconflict.org,1,africanconflict.org,africanconflict.org,Desintation (News)/News/War/American Aid/Culture,,,250-275 words,
,1778,bisandiego.org,1,bisandiego.org,bisandiego.org,"Charities & Society, Travel & Tourism, Shopping, Fashion & Lifestyle",,,250-275 words,
,1534,embjapan-om.org,1,embjapan-om.org,embjapan-om.org,Destination (News)/News/Crime/Events/Weather/International Affairs,,,250-275 words,
,1535,emjamusa.org,1,emjamusa.org,emjamusa.org,Destination (News)/News/Crime/Events/Weather/Entertainment/Sports,,,250-275 words,
,1627,esperantomex.org,1,esperantomex.org,esperantomex.org,Education/International/Travel components in courses/Study Abroad/online collaboration,,,250-275 words,
,2152,happytravelinsurance.com,1,happytravelinsurance.com,happytravelinsurance.com,"Travel, Vacations, Insurance, Transportation, Accommodations, attractions, cost, business",,,250-275 words,
,2159,intelitran.com,1,intelitran.com,intelitran.com,"Travel, Vacations, Insurance, Transportation, Accommodations, attractions, cost, business",,,250-275 words,
,2179,okf.org,1,okf.org,okf.org,"Travel, Vacations, Insurance, Transportation, Accommodations, attractions, cost, business",,,250-275 words,
,1326,teatrocrt.org,1,teatrocrt.org,teatrocrt.org,"Italy, Italian Art, Italian Performing Arts, Italian food, customs, culture",,,250-275 words,
,2488,cpechrd.org,1,cpechrd.org,cpechrd.org,"Business/Travel, business expenses, gadgets, overseas trips, state to state, mode of transportation, job fairs",,,250-275 words,
