Campaign Name,Campaign ID,Domain,Number of Keywords,Campaign Keywords,Mapping-ID,Optional Field 1,Optional Field 2,Optional Field 3,Optional Field 4,1,38
supplychaintech.com - 2,,supplychaintech.com,2,supplychaintech.com,supplychaintech.com,,,"Technology, computers, hardware, software, accessories, how to, tips and tricks, basic knowledge",supplychaintech.com,,
tipia.org - 2,,tipia.org,2,tipia.org,tipia.org,,,"Technology, internet, multimedia, music, videos, media players, downloads ",tipia.org,,
topdogg.com - 2,,topdogg.com,2,topdogg.com,topdogg.com,,,"Technology, computers, hardware, software, accessories, how to, tips and tricks, basic knowledge",topdogg.com,,
wormwatch.org - 2,,wormwatch.org,2,wormwatch.org,wormwatch.org,,,"Technology, cell phones, computers, GPS, TV, satellite, transportation, internet",wormwatch.org,,
tpglifebalance.com - 2,,tpglifebalance.com,1,tpglifebalance.com,tpglifebalance.com,,,"Home Economics, family expenses, mortgage, education, bills, budgets, insurance, health costs",tpglifebalance.com,,
entrex.org - 2,,entrex.org,1,entrex.org,entrex.org,,,"Technology, education, business, training, software, hardware, benefits, updates",entrex.org,,
tra-dc.org - 2,,tra-dc.org,1,tra-dc.org,tra-dc.org,,,"Technology, computers, hardware, software, accessories, how to, tips and tricks, basic knowledge",tra-dc.org,,
infoposible.org - 2,,infoposible.org,1,infoposible.org,infoposible.org,,,"Technology, cell phones, computers, GPS, TV, satellite, transportation, internet",infoposible.org,,
traficdom.com - 2,,traficdom.com,1,traficdom.com,traficdom.com,,,"Technology, internet, multimedia, music, videos, media players, downloads ",traficdom.com,,
007technology.com - 2,,007technology.com,1,007technology.com,007technology.com,,,"Technology, gadgets, advancements, updates, reviews, communications, home, office, cost v. quality, brands",007technology.com,,
udratech.com - 2,,udratech.com,1,udratech.com,udratech.com,,,"Technology, business software, management software, software, hardware, advancements",udratech.com,,
bopen.org - 2,,bopen.org,1,bopen.org,bopen.org,,,"Technology, open source software, 3D, graphics, websites, internet, downloads, hardware, web design",bopen.org,,
boxwhore.org - 2,,boxwhore.org,1,boxwhore.org,boxwhore.org,,,"Technology, computers, updates, advancements, laptops, hardware, software, operating systems",boxwhore.org,,
countrycloset.org - 2,,countrycloset.org,1,countrycloset.org,countrycloset.org,,,"Home Economics, spending, budgeting, children, newly weds, first-time parents, home expenses",countrycloset.org,,
emailthetech.com - 2,,emailthetech.com,1,emailthetech.com,emailthetech.com,,,"Technology, computers, operating systems, downloads, software, hardware, internet",emailthetech.com,,
freesoftwareclub.com - 2,,freesoftwareclub.com,1,freesoftwareclub.com,freesoftwareclub.com,,,"Technology, downloads, free downloads, software, hardware, gadgets, latest advancements",freesoftwareclub.com,,
globaltelecom.org - 2,,globaltelecom.org,1,globaltelecom.org,globaltelecom.org,,,"Technology, Global Connections, Internet, Video-Chat",globaltelecom.org,,
icomm.org - 2,,icomm.org,1,icomm.org,icomm.org,,,"Technology, internet, computers, hardware, software, research, search engines",icomm.org,,
submass.com - 2,,submass.com,1,submass.com,submass.com,,,"Technology, digital media, communications, video, instant message chat, e-mail, video conference, software, hardware, updates",submass.com,,
timetobreathe.net - 2,,timetobreathe.net,1,timetobreathe.net,timetobreathe.net,,,"Parenting, teen, development, discipline, rebellion, driving, drugs and alcohol, relationship, education, medical needs",timetobreathe.net,,
0xd6.org - 2,,0xd6.org,1,0xd6.org,0xd6.org,,,"Technology, computers, operating systems, hardware, internet, hard drives, microchips, updates, advancements",0xd6.org,,
bsanet.org - 2,,bsanet.org,1,bsanet.org,bsanet.org,,,"Bankruptcy , recession, chapter 11, expenses, debt, national, international, statistics",bsanet.org,,
feedbackdirect.com - 2,,feedbackdirect.com,1,feedbackdirect.com,feedbackdirect.com,,,"Home Economics, recession, budgeting, unemployment, legal, taxes, expenses, spending",feedbackdirect.com,,
mbasnv.org - 2,,mbasnv.org,1,mbasnv.org,mbasnv.org,,,"Bankruptcy, recession, debt, national, international, taxes, government, spending",mbasnv.org,,
nxsgrp.com - 2,,nxsgrp.com,1,nxsgrp.com,nxsgrp.com,,,"Home Economics, spending, budgeting, children, newly weds, first-time parents, home expenses",nxsgrp.com,,
partnershiperie.org - 2,,partnershiperie.org,1,partnershiperie.org,partnershiperie.org,,,"Home Economics, family expenses, mortgage, education, bills, budgets, insurance, health costs",partnershiperie.org,,
ptid.org - 2,,ptid.org,1,ptid.org,ptid.org,,,"Parenting, teen, development, discipline, rebellion, driving, drugs and alcohol, relationship, education, medical needs",ptid.org,,
ptsociety.org - 2,,ptsociety.org,1,ptsociety.org,ptsociety.org,,,"Parenting, teen, development, discipline, rebellion, driving, drugs and alcohol, relationship, education, medical needs",ptsociety.org,,
tucsontraders.org - 2,,tucsontraders.org,1,tucsontraders.org,tucsontraders.org,,,"Home Economics, home life, parents, kids, cooking, sewing, car maintenance, home repairs, chores, budgeting",tucsontraders.org,,
aloefcu.org - 2,,aloefcu.org,1,aloefcu.org,aloefcu.org,,,"Bankruptcy, family expenses, liquidation, unemployment, debt, recession, spending",aloefcu.org,,
asefcu.org - 2,,asefcu.org,1,asefcu.org,asefcu.org,,,"Bankruptcy, debt, credit cards, loans, banks, national, international, government",asefcu.org,,
comotionmakers.org - 2,,comotionmakers.org,1,comotionmakers.org,comotionmakers.org,,,"Parenting, teen, development, discipline, rebellion, driving, drugs and alcohol, relationship, education, medical needs",comotionmakers.org,,
earthcomp.net - 2,,earthcomp.net,1,earthcomp.net,earthcomp.net,,,"Technology, going green, computers, internet, recycled parts and programs, less chemicals, energy efficient computers, participating companies",earthcomp.net,,
isfisf.org - 2,,isfisf.org,1,isfisf.org,isfisf.org,,,"Home Economics, recession, budgeting, unemployment, legal, taxes, expenses, spending",isfisf.org,,
