Campaign Name,Campaign ID,Domain,Number of Keywords,Campaign Keywords,Mapping-ID,Optional Field 1,Optional Field 2,Optional Field 3,Optional Field 4,
,3333,1writersway.org,3,1writersway.org,1writersway.org,,,"Literary Magazine, Books, Literature, Writing, Reading, Publishing, Genres",1writersway.org,
,3339,4disability.com,3,4disability.com,4disability.com,,,"Disabilities, Disability Accessories, Child disabilities, Health, Rehab, Schools for disabled",4disability.com,
,3340,4exercise.com,3,4exercise.com,4exercise.com,,,"Health, fitness, healthy living, nutrition, exercise, vitamins, medications",4exercise.com,
,3341,4financialaid.com,3,4financialaid.com,4financialaid.com,,,"Finance, financial aid, support, college aid, personal aid, debt, budgeting ",4financialaid.com,
,3343,4goodnesssake.org,3,4goodnesssake.org,4goodnesssake.org,,,Mommy/Stress/Ways to Relax/Activities for kids,4goodnesssake.org,
,3345,4laborsoflove.org,3,4laborsoflove.org,4laborsoflove.org,,,"Charities & Society, Volunteering, Organizations, Habitat for Humanity, Soup kitchens, churches, donations, tax deductions ",4laborsoflove.org,
,3346,4saferoutes.org,3,4saferoutes.org,4saferoutes.org,,,"Automotive, Children, Safety, driving conditions, highway laws, school zones, car seats, seat belt laws",4saferoutes.org,
,3352,academicresources.net,3,academicresources.net,academicresources.net,,,"Academic Resources, Education, Internet, Resources, Plagiarism, Research",academicresources.net,
,3354,accessmichigan.org,3,accessmichigan.org,accessmichigan.org,,,Destination (News)/Sports/Crime/Events/Weather/Entertainment,accessmichigan.org,
,3355,accesspower.com,3,accesspower.com,accesspower.com,,,Computer/Data Backup/Power Sources/Emergency/Generators,accesspower.com,
,3359,acrossborders.org,3,acrossborders.org,acrossborders.org,,,Import/Export Business/International Trading/Free Trading/Stock Markets,acrossborders.org,
,3363,addictionscience.org,3,addictionscience.org,addictionscience.org,,,"Addiction, Studies Behind Addiction, Mind and Body, Drugs, Exercise, Health, Medication",addictionscience.org,
,3364,adult-add.org,3,adult-add.org,adult-add.org,,,"Add, Adhd, Treatment, Testing, Medications, Fitness, Health Care, Neurological disorders",adult-add.org,
,3365,adultu.com,3,adultu.com,adultu.com,,,"Education, distance learning, online learning, phobias, continuing education",adultu.com,
,3366,adventurebid.com,3,adventurebid.com,adventurebid.com,,,Sports/Extreme/Motor Bikes/Go-Carts/BMX,adventurebid.com,
,3368,affiliateinformer.com,3,affiliateinformer.com,affiliateinformer.com,,,"Finance, home, office, personal, family finance, loans, banks, savings, taxes",affiliateinformer.com,
,3370,afterschoolpartnership.org,3,afterschoolpartnership.org,afterschoolpartnership.org,,,"Parenting, teen, development, discipline, rebellion, driving, drugs and alcohol, relationship, education, medical needs",afterschoolpartnership.org,
,3375,airkeeper.org,3,airkeeper.org,airkeeper.org,,,"Travel, entertainment, culture, history, transportation, family friendly, travel budgets, preparations",airkeeper.org,
,3383,alphabethouse.org,3,alphabethouse.org,alphabethouse.org,,,Mommy/Budgeting/Homework help and school projects/Working moms,alphabethouse.org,
,3388,alternatehealing.com,3,alternatehealing.com,alternatehealing.com,,,"Alternative medicine, acupuncture, health food, exercise, rehab, herbal treatments",alternatehealing.com,
,3390,americanoutreach.org,3,americanoutreach.org,americanoutreach.org,,,"Substance Abuse, Addictions, Alcohol, Drugs, Health Care, Rehab, Addicts",americanoutreach.org,
,3391,americhiro.org,3,americhiro.org,americhiro.org,,,"Chiropractors, Chiropractic, Alternative medicine, Health, Treatment, Rehab, Physical Therapy",americhiro.org,
,3421,atlastravelmarketing.com,3,atlastravelmarketing.com,atlastravelmarketing.com,,,"Vacations, Travel and Tourism, Information, Destinations, Family deals, Business trips, transportation, accommodations, attractions",atlastravelmarketing.com,
,3436,baltimoreevents.org,3,baltimoreevents.org,baltimoreevents.org,,,Destination (News)/News/Crime/Events/Weather/Entertainment/Sports,baltimoreevents.org,
,3437,barcoding.org,3,barcoding.org,barcoding.org,,,"Domain Names, Register Domains, Barcodes, Security, Protection, Tracking, Internet, Technology",barcoding.org,
,3449,beamofhope.org,3,beamofhope.org,beamofhope.org,,,"Adoption, FAQ, tips and tricks, adoption process, family life, budget adjustments, introducing new additions to the family",beamofhope.org,
,3466,bizcodes.org,3,bizcodes.org,bizcodes.org,,,"Business, Careers, Finance, Meetings, Trips, Tips and Tricks, Interviews, Etiquette, Dealing with Foreign Cultures/clients ",bizcodes.org,
,3473,blogalization.org,3,blogalization.org,blogalization.org,,,"Lifestyle, traditions, lower class, middle class, upper class, relationships, generations, technology, materialistic",blogalization.org,
,3483,brainsmash.net,3,brainsmash.net,brainsmash.net,,,Gambling/Games/Slots/Odds/Casinos/Odds/Statistics/Laws/Addiction,brainsmash.net,
,3487,browserware.org,3,browserware.org,browserware.org,,,"Technology, internet, connections, networks, large servers, routers, wireless, hot spots, computers, laptops",browserware.org,
,3491,bullterrier.org,3,bullterrier.org,bullterrier.org,,,Pet/Feeding/Breeding/Species/Health Problems/General Care/History,bullterrier.org,
,3509,campaignyoungvoters.org,3,campaignyoungvoters.org,campaignyoungvoters.org,,,"Young Voters, voting, elections, candidates, society, government, politics",campaignyoungvoters.org,
,3512,cancerfatigue.org,3,cancerfatigue.org,cancerfatigue.org,,,"Cancer | Cancer side affects | Cancer Advice and Support, treatments, symptoms, types of cancer, prevention, risk factors",cancerfatigue.org,
,3515,carealot.org,3,carealot.org,carealot.org,,,"Parenting, teen, development, discipline, rebellion, driving, drugs and alcohol, relationship, education, medical needs",carealot.org,
,3517,careercompanion.com,3,careercompanion.com,careercompanion.com,,,"Business, audit, taxes, stocks, trades, import/export, fees",careercompanion.com,
,3518,careerrecipes.com,3,careerrecipes.com,careerrecipes.com,,,"Business, taxes, spending, hiring, employee relationships, budget, management",careerrecipes.com,
,3520,caringjobs.org,3,caringjobs.org,caringjobs.org,,,"Parenting, teen, development, discipline, rebellion, driving, drugs and alcohol, relationship, education, medical needs",caringjobs.org,
,3545,cha-chic.org,3,cha-chic.org,cha-chic.org,,,"Fashion, colors, patterns, media influence, seasonal fashion, accessories, designers",cha-chic.org,
,3562,class-tech.org,3,class-tech.org,class-tech.org,,,Computer/How to/Problems/Solutions/Hardware/Software,class-tech.org,
,3565,cliches.org,3,cliches.org,cliches.org,,,"Politics, Parties, business, campaigns, elections, society",cliches.org,
,3566,clicksofthetrade.com,3,clicksofthetrade.com,clicksofthetrade.com,,,Computer/History/Hardware/Software/Evolution of the Computer/Internet,clicksofthetrade.com,
,3577,collaborative-learning.org,3,collaborative-learning.org,collaborative-learning.org,,,"Education, online learning, collaborative learning, international connections, study groups, teaching methods",collaborative-learning.org,
,3578,collapse.org,3,collapse.org,collapse.org,,,"Finance, personal finance, budgeting, investments, stocks, bonds, mutual funds, prepaid college",collapse.org,
,3586,comotionmakers.org,3,comotionmakers.org,comotionmakers.org,,,"Parenting, teen, development, discipline, rebellion, driving, drugs and alcohol, relationship, education, medical needs",comotionmakers.org,
,3587,concretemanagement.com,3,concretemanagement.com,concretemanagement.com,,,"Business, economy, business audits, spending, budget, management, stocks, trades",concretemanagement.com,
,3590,constrained.org,3,constrained.org,constrained.org,,,Finance/Budgeting/Recession/Debt Collectors/What bills to get rid of/What to sacrifice,constrained.org,
,3591,consumed.org,3,consumed.org,consumed.org,,,"Lifestyle, traditions, lower class, middle class, upper class, relationships, generations, technology, materialistic",consumed.org,
,3596,corporategear.com,3,corporategear.com,corporategear.com,,,"Fashion, special occasions, home, office, nights out, accessories, colors, patterns, shoes, shopping",corporategear.com,
,3605,creationethics.org,3,creationethics.org,creationethics.org,,,Fashion/Decor/Small rooms/Big rooms/Color/Budget decorating/Do it yourself,creationethics.org,
,3606,creative-economy.org,3,creative-economy.org,creative-economy.org,,,"Business, international relationships, international spending, foreign investment, import/export, taxes, stocks",creative-economy.org,
,3608,crimeconcern.org,3,crimeconcern.org,crimeconcern.org,,,"Alarm Systems, Automotive, Government, Legal, News, Protection, Scams",crimeconcern.org,
,3611,crisisinamerica.org,3,crisisinamerica.org,crisisinamerica.org,,,"History/Culture, Travel & Tourism, Politics & Government, economy, elections, war, protests",crisisinamerica.org,
