Campaign Name,Campaign ID,Domain,Number of Keywords,Campaign Keywords,Mapping-ID,Optional Field 1,Optional Field 2,Optional Field 3,Optional Field 4
3riversbirdingclub.org - A,,3riversbirdingclub.org,3,3riversbirdingclub.org,3riversbirdingclub.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",3riversbirdingclub.org
4healthykids.org - A,,4healthykids.org,3,4healthykids.org,4healthykids.org,,,"Consumer, parenting, spending, special occasions, gifts, youth entertainment, childhood interests, milestone purchases ",4healthykids.org
aagad.org - A,,aagad.org,3,aagad.org,aagad.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",aagad.org
abifoundation.org - A,,abifoundation.org,3,abifoundation.org,abifoundation.org,,,"Lifestyle, traditions, lower class, middle class, upper class, relationships, generations, technology, materialistic",abifoundation.org
able-ezine.org - A,,able-ezine.org,3,able-ezine.org,able-ezine.org,,,"Education, Careers, college, online learning, schools, applications, course selections, study abroad, admissions",able-ezine.org
abrh.org - A,,abrh.org,3,abrh.org,abrh.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",abrh.org
acadmed.org - A,,acadmed.org,3,acadmed.org,acadmed.org,,,Education/Continuing Education/Online Learning/Employment Requirements/Adult Education/Career,acadmed.org
adoptiontravelsupplies.org - A,,adoptiontravelsupplies.org,3,adoptiontravelsupplies.org,adoptiontravelsupplies.org,,,"Consumer, parenting, spending, special occasions, gifts, youth entertainment, childhood interests, milestone purchases ",adoptiontravelsupplies.org
ahecpartners.org - A,,ahecpartners.org,3,ahecpartners.org,ahecpartners.org,,,Education/Continuing Education/Online Learning/Employment Requirements/Adult Education/Career,ahecpartners.org
ahsr.org - A,,ahsr.org,3,ahsr.org,ahsr.org,,,"Education, Careers, college, online learning, schools, applications, course selections, study abroad, admissions",ahsr.org
aklsa.org - A,,aklsa.org,3,aklsa.org,aklsa.org,,,"Personal finance, budgeting, investments, stocks, bonds, mutual funds, debt, income, savings, expenses, financial aid, loans, taxes",aklsa.org
allcars.org - A,,allcars.org,3,allcars.org,allcars.org,,,"Auto, Transportation, used, new, maintenance, safety, traveling, gas prices, insurance",allcars.org
alleycatrescue.org - A,,alleycatrescue.org,3,alleycatrescue.org,alleycatrescue.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",alleycatrescue.org
amphibia.org - A,,amphibia.org,3,amphibia.org,amphibia.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",amphibia.org
arbitrages.org - A,,arbitrages.org,3,arbitrages.org,arbitrages.org,,,"Legal, education, careers, cases, history, laws, representation",arbitrages.org
asianlawalliance-ala.org - A,,asianlawalliance-ala.org,3,asianlawalliance-ala.org,asianlawalliance-ala.org,,,"Legal, education, careers, cases, history, laws, representation",asianlawalliance-ala.org
australianshepherd.org - A,,australianshepherd.org,3,australianshepherd.org,australianshepherd.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",australianshepherd.org
babf.org - A,,babf.org,3,babf.org,babf.org,,,"Personal finance, budgeting, investments, stocks, bonds, mutual funds, debt, income, savings, expenses, financial aid, loans, taxes",babf.org
bbpdc.org - A,,bbpdc.org,3,bbpdc.org,bbpdc.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",bbpdc.org
bcn03.org - A,,bcn03.org,3,bcn03.org,bcn03.org,,,"Education, Career, online education, higher education, scholarships, technical school, secondary education, post-graduate school",bcn03.org
bctrucking.org - A,,bctrucking.org,3,bctrucking.org,bctrucking.org,,,"Auto, Transportation, used, new, maintenance, safety, traveling, gas prices, insurance",bctrucking.org
beechtreecommon.org - A,,beechtreecommon.org,3,beechtreecommon.org,beechtreecommon.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",beechtreecommon.org
bereavement.org - A,,bereavement.org,3,bereavement.org,bereavement.org,,,Education/Continuing Education/Online Learning/Employment Requirements/Adult Education/Career,bereavement.org
bioednet.org - A,,bioednet.org,3,bioednet.org,bioednet.org,,,"Education, Careers, college, online learning, schools, applications, course selections, study abroad, admissions",bioednet.org
blenderman.org - A,,blenderman.org,3,blenderman.org,blenderman.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",blenderman.org
bopa-web.org - A,,bopa-web.org,3,bopa-web.org,bopa-web.org,,,"Lifestyle, teen, personal development, relationships, education, fashion, finance, consumer wants, pop culture, trends",bopa-web.org
bphm.org - A,,bphm.org,3,bphm.org,bphm.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",bphm.org
britishhc.org - A,,britishhc.org,3,britishhc.org,britishhc.org,,,"Education, Careers, college, online learning, schools, applications, course selections, study abroad, admissions",britishhc.org
butlerreview.org - A,,butlerreview.org,3,butlerreview.org,butlerreview.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",butlerreview.org
c4aging.org - A,,c4aging.org,3,c4aging.org,c4aging.org,,,"Lifestyle, teen, personal development, relationships, education, fashion, finance, consumer wants, pop culture, trends",c4aging.org
cadv.org - A,,cadv.org,3,cadv.org,cadv.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",cadv.org
calventureforum.org - A,,calventureforum.org,3,calventureforum.org,calventureforum.org,,,Education/Continuing Education/Online Learning/Employment Requirements/Adult Education/Career,calventureforum.org
carpathians.org - A,,carpathians.org,3,carpathians.org,carpathians.org,,,"Education, Career, course of study, higher education, high school, grammar school, teachers",carpathians.org
catfishassoc.org - A,,catfishassoc.org,3,catfishassoc.org,catfishassoc.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",catfishassoc.org
ccyfc.org - A,,ccyfc.org,3,ccyfc.org,ccyfc.org,,,"Lifestyle, teen, personal development, relationships, education, fashion, finance, consumer wants, pop culture, trends",ccyfc.org
cervantex.org - A,,cervantex.org,3,cervantex.org,cervantex.org,,,"Education, Career, course of study, higher education, high school, grammar school, teachers",cervantex.org
chamber-of-commerce-mi.org - A,,chamber-of-commerce-mi.org,3,chamber-of-commerce-mi.org,chamber-of-commerce-mi.org,,,"Personal finance, budgeting, investments, stocks, bonds, mutual funds, debt, income, savings, expenses, financial aid, loans, taxes",chamber-of-commerce-mi.org
checkercabs.org - A,,checkercabs.org,3,checkercabs.org,checkercabs.org,,,"Auto, Transportation, used, new, maintenance, safety, traveling, gas prices, insurance",checkercabs.org
chemexcil.org - A,,chemexcil.org,3,chemexcil.org,chemexcil.org,,,"Education, Career, course of study, higher education, high school, grammar school, teachers",chemexcil.org
chicagolead.org - A,,chicagolead.org,3,chicagolead.org,chicagolead.org,,,"Personal finance, budgeting, investments, stocks, bonds, mutual funds, debt, income, savings, expenses, financial aid, loans, taxes",chicagolead.org
childaidsservices.org - A,,childaidsservices.org,3,childaidsservices.org,childaidsservices.org,,,"Consumer, parenting, spending, special occasions, gifts, youth entertainment, childhood interests, milestone purchases ",childaidsservices.org
citadeleff.org - A,,citadeleff.org,3,citadeleff.org,citadeleff.org,,,"Consumer, finance, personal finance, budgeting, investments, stocks, bonds, mutual funds, prepaid college",citadeleff.org
clubpetadoption.org - A,,clubpetadoption.org,3,clubpetadoption.org,clubpetadoption.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",clubpetadoption.org
clusterhubs.org - A,,clusterhubs.org,3,clusterhubs.org,clusterhubs.org,,,"Consumer, technology, reviews, when to buy, refurbished products, guarantees, brands, quality",clusterhubs.org
coalitionforconsumerrights.org - A,,coalitionforconsumerrights.org,3,coalitionforconsumerrights.org,coalitionforconsumerrights.org,,,"Consumer, finance, personal finance, budgeting, investments, stocks, bonds, mutual funds, prepaid college",coalitionforconsumerrights.org
cockatoos.org - A,,cockatoos.org,3,cockatoos.org,cockatoos.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",cockatoos.org
coldblooded.org - A,,coldblooded.org,3,coldblooded.org,coldblooded.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",coldblooded.org
colombianueva.org - A,,colombianueva.org,3,colombianueva.org,colombianueva.org,,,"Education, Career, online education, higher education, scholarships, technical school, secondary education, post-graduate school",colombianueva.org
connect-to-hope.org - A,,connect-to-hope.org,3,connect-to-hope.org,connect-to-hope.org,,,"Personal finance, budgeting, investments, stocks, bonds, mutual funds, debt, income, savings, expenses, financial aid, loans, taxes",connect-to-hope.org
consensus-online.org - A,,consensus-online.org,3,consensus-online.org,consensus-online.org,,,"Consumer, technology, reviews, when to buy, refurbished products, guarantees, brands, quality",consensus-online.org
conservativesunite.org - A,,conservativesunite.org,3,conservativesunite.org,conservativesunite.org,,,"Lifestyle, traditions, lower class, middle class, upper class, relationships, generations, technology, materialistic",conservativesunite.org
consulatfrancehouston.org - A,,consulatfrancehouston.org,3,consulatfrancehouston.org,consulatfrancehouston.org,,,"Consumer, finance, personal finance, budgeting, investments, stocks, bonds, mutual funds, prepaid college",consulatfrancehouston.org
continet.org - A,,continet.org,3,continet.org,continet.org,,,"Consumer, finance, personal finance, budgeting, investments, stocks, bonds, mutual funds, prepaid college",continet.org
coopnetaldia.org - A,,coopnetaldia.org,3,coopnetaldia.org,coopnetaldia.org,,,Education/Continuing Education/Online Learning/Employment Requirements/Adult Education/Career,coopnetaldia.org
cosac.org - A,,cosac.org,3,cosac.org,cosac.org,,,"Education, Career, course of study, higher education, high school, grammar school, teachers",cosac.org
courtwatchers.org - A,,courtwatchers.org,3,courtwatchers.org,courtwatchers.org,,,"Legal, education, careers, cases, history, laws, representation",courtwatchers.org
cunneenhackett.org - A,,cunneenhackett.org,3,cunneenhackett.org,cunneenhackett.org,,,"Consumer, fashion, clothing, bargain shopping, brands, labels, fashion industry ",cunneenhackett.org
defens.org - A,,defens.org,3,defens.org,defens.org,,,"Personal finance, budgeting, investments, stocks, bonds, mutual funds, debt, income, savings, expenses, financial aid, loans, taxes",defens.org
delhibird.org - A,,delhibird.org,3,delhibird.org,delhibird.org,,,"Pets, Exotic, Feeding, Breeding, Species, Health Problems, General Care, History, accessories",delhibird.org
dgkproductions.com - A,,dgkproductions.com,3,dgkproductions.com,dgkproductions.com,,,"Technology, computers, hardware, software, accessories, how to, tips and tricks, basic knowledge, gadgets",dgkproductions.com
diplomacyworld.org - A,,diplomacyworld.org,3,diplomacyworld.org,diplomacyworld.org,,,"Lifestyle, traditions, lower class, middle class, upper class, relationships, generations, technology, materialistic",diplomacyworld.org
doc-limousin.org - A,,doc-limousin.org,3,doc-limousin.org,doc-limousin.org,,,"Legal, education, careers, cases, history, laws, representation",doc-limousin.org
drire-lr.org - A,,drire-lr.org,3,drire-lr.org,drire-lr.org,,,"Education, Career, course of study, higher education, high school, grammar school, teachers",drire-lr.org
drugworld.org - A,,drugworld.org,3,drugworld.org,drugworld.org,,,"Health/Medical, administration, technology, career, insurance",drugworld.org
ecaar-russia.org - A,,ecaar-russia.org,3,ecaar-russia.org,ecaar-russia.org,,,"Education, Career, course of study, higher education, high school, grammar school, teachers",ecaar-russia.org
elder-abuse.com - A,,elder-abuse.com,3,elder-abuse.com,elder-abuse.com,,,"Legal, education, careers, cases, history, laws, representation",elder-abuse.com
ethoseurope.org - A,,ethoseurope.org,3,ethoseurope.org,ethoseurope.org,,,"Lifestyle, traditions, lower class, middle class, upper class, relationships, generations, technology, materialistic",ethoseurope.org
eu-studentvote.org - A,,eu-studentvote.org,3,eu-studentvote.org,eu-studentvote.org,,,Education/Continuing Education/Online Learning/Employment Requirements/Adult Education/Career,eu-studentvote.org
eurogayway.org - A,,eurogayway.org,3,eurogayway.org,eurogayway.org,,,"Consumer, fashion, clothing, bargain shopping, brands, labels, fashion industry ",eurogayway.org
eus-online.org - A,,eus-online.org,3,eus-online.org,eus-online.org,,,Education/Continuing Education/Online Learning/Employment Requirements/Adult Education/Career,eus-online.org
farnsworthhousefriends.org - A,,farnsworthhousefriends.org,3,farnsworthhousefriends.org,farnsworthhousefriends.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations
",farnsworthhousefriends.org
feator.org - A,,feator.org,3,feator.org,feator.org,,,"Real Estate, decor, landscaping, decorating, family homes, apartments, furniture, location, renovations",feator.org
