Campaign Name,Campaign ID,Domain,Number of Keywords,Campaign Keywords,Mapping-ID,Optional Field 1,Optional Field 2,Optional Field 3,Optional Field 4,,,,,,,,,,
futuretruck.org - 20,,futuretruck.org,20,futuretruck.org,futuretruck.org,"Present, upcoming and future innovations in trucks",Cars/SUVS/Trucks - Reviews,Car/SUVS/Trucks/Safety/Storage/Comfort/Recalls/Crash Test/Semis,,,,,,,,,,,
washesforwishes.org - 20,,washesforwishes.org,20,washesforwishes.org,washesforwishes.org,tests/Recalls/Traveling/Tips and Tricks to make your ride last,New/Research/Crash,Car/Dealers/Used,,,,,,,,,,,
yournextcar.org - 20,,yournextcar.org,20,yournextcar.org,yournextcar.org,tests/Recalls,New/Research/Crash,Car/Dealers/Used,,,,,,,,,,,
acr-news.org - 20,,acr-news.org,20,acr-news.org,acr-news.org,Business & Consumerism,Best buys:- Price vs Quality = Value,Business/Consumerism/Best buys/What makes a better product/Price v. Quality,,,,,,,,,,,
eworkforce.org - 20,,eworkforce.org,20,eworkforce.org,eworkforce.org,Employment tips and advice - for workforce,"Tele-commuting, working online, working from home, ",Business/job Search/Interview Tips/Resume restoration/How to dress/work ethics/how to get ahead,,,,,,,,,,,
professional-exchange.com - 20,,professional-exchange.com,20,professional-exchange.com,professional-exchange.com,"Business management tips and advice, representing yourself and your company","Strategy, thinking long term instead of short term",Business/Business Meetings/Proper Attire/Business Expenses/How to treat clients/Strategy,,,,,,,,,,,
urbanabusinessalliance.org - 20,,urbanabusinessalliance.org,20,urbanabusinessalliance.org,urbanabusinessalliance.org,Understanding business & industry to help you run your company,"advice for financing, selling goods and services, and knowing when its time to merge or bring on a business partner",Business/Merges/Business Partners/Outsourcing/Economic Development,,,,,,,,,,,
acekids.com - 20,,acekids.com,20,acekids.com,acekids.com,Parental Tips and Advice for Mothers,Importance of getting your kids involved in sports,Helping your children develop good social skills,,,,,,,,,,,
accesspower.com - 20,,accesspower.com,20,accesspower.com,accesspower.com,Computer security and data safety,Computer/Data Backup/Power Sources/Emergency/Generators,,,,,,,,,,,,
broadbandxchange.org - 20,,broadbandxchange.org,20,broadbandxchange.org,broadbandxchange.org,Tips & advices for improving your internet speeds,General Computer advice,Computer/Better Connection/Hardware/Software/Tips and Tricks,,,,,,,,,,,
c-cure.org - 20,,c-cure.org,20,c-cure.org,c-cure.org,Computer security and data safety,"Computer protection against Virus, Trojans, Hackers, Bugs, etc",Computer/Common problems/Ant-Virus/Hardware/Software/Tips and Tricks,,,,,,,,,,,
class-tech.org - 20,,class-tech.org,20,class-tech.org,class-tech.org,Computer advice and instructions,Technology tips and tricks,Computer/How to/Problems/Solutions/Hardware/Software,,,,,,,,,,,
clicksofthetrade.com - 20,,clicksofthetrade.com,20,clicksofthetrade.com,clicksofthetrade.com,History of Computers ,"Past, Present and Future of Computers",Computer/History/Hardware/Software/Evolution of the Computer/Internet,,,,,,,,,,,
digitalhistory.org - 20,,digitalhistory.org,20,digitalhistory.org,digitalhistory.org,History of the ongoing battle of Mac vs PC vs Linux,History of the Internet,Computer/History of the Internet/Mac/PC,,,,,,,,,,,
freesiteresources.com - 20,,freesiteresources.com,20,freesiteresources.com,freesiteresources.com,Computer security and data safety,"Computer protection against Virus, Trojans, Hackers, Bugs, etc",Computer/Software/Hardware/Anti-Virus/Protection/Common Problems/Common Solutions,,,,,,,,,,,
infoclick.org - 20,,infoclick.org,20,infoclick.org,infoclick.org,Information on finding creditable resources online,Information on why sites like Wikipedia aren't reliable and how to use them to find more creditable sites,Computer/Search Engines/Online Resources/Research/How to,,,,,,,,,,,
pixellated.org - 20,,pixellated.org,20,pixellated.org,pixellated.org,Useful resources for sharing your data with family and friends,the line between legal and illegal file sharing,Computer/Photos/Video/Downloads/File Sharing/Ripping CD/DVD,,,,,,,,,,,
softwareindustry.org - 20,,softwareindustry.org,20,softwareindustry.org,softwareindustry.org,"Damages to music industry caused by Illegal Downloads, etc","Risks, and penalties surrounding Pirating music & other media",Computer/Software/Downloads/Music Downloads/Pirating/Illegal Downloads,,,,,,,,,,,
fortressexplorer.org - 20,,fortressexplorer.org,20,fortressexplorer.org,fortressexplorer.org,The web browser war - benefits and drawbacks for each - including add ons and plugins,Internet security risks for each browser,Computer/Firefox/Google Chrome/Explorer/Benefits/Disadvantages,,,,,,,,,,,
y2kidz.org - 20,,y2kidz.org,20,y2kidz.org,y2kidz.org,"Game reviews, popularity and addictivity",Different online gaming communities,Computer/Gaming/Popular computer games/Graphics cards/online gaming can be addictive,,,,,,,,,,,
accessmichigan.org - 20,,accessmichigan.org,20,accessmichigan.org,accessmichigan.org,All about Michigan - (News)/Sports/Crime/Events/Weather/Entertainment,Michigan travel & tourism,News Resource for Michigan State,,,,,,,,,,,
baltimoreevents.org - 20,,baltimoreevents.org,20,baltimoreevents.org,baltimoreevents.org,Baltimore - (News)/News/Crime/Events/Weather/Entertainment/Sports,Baltimore travel & tourism,Baltimore,,,,,,,,,,,
