Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes,
,,,,,Where to Stay in Sedona,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Sedona-AZ_Los-Abrigados-Resort-And-Spa-509bfe4466edc8466101ea7b-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Poco-Diablo-Resort-509bfcb266edc8466100b881-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Ridge-on-Sedona-Golf-Resort-509c024b66edc846610518c8-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Sedona-Real-Inn-Suites-509bfd3366edc84661011d56-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Sedona-Rouge-Hotel-And-Spa-509bfc8966edc846610097a4-Reviews,,,derek freal,0.06,n/a
,,,,,Palm Springs' Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Riviera-Palm-Springs-A-Noble-House-Resort-509bfdc666edc846610191fa-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Royal-Sun-Inn-509bfefa66edc84661026b1b-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_The-Curve-Palm-Springs-Hotel-509bfcc866edc8466100c713-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_The-Saguaro-Palm-Springs-a-Joie-de-Vivre-Boutique-Hotel-509bfdc066edc84661018d5d-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_The-Garden-Vista-Hotel-Palm-Springs-exShilo-Inn-5290946dc0852e4e750001c0-Reviews,,,derek freal,0.06,n/a
,,,,,Jackson's Best Independent Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Jackson-WY_Antler-Inn-509c004166edc84661036d9a-Reviews,hipmunk.com/Independent-Hotels-in-Jackson-WY_Anvil-Motel-509bfece66edc846610249b1-Reviews,hipmunk.com/Independent-Hotels-in-Jackson-WY_Cache-Creek-Lodge-509c01a466edc84661048e0d-Reviews,hipmunk.com/Independent-Hotels-in-Jackson-WY_Cowboy-Village-Resort-509bfe8166edc846610214dd-Reviews,hipmunk.com/Independent-Hotels-in-Jackson-WY_Spring-Creek-Ranch-509bfc9d66edc8466100a6f7-Reviews,,,j haase,0.1,n/a
,,,,,Great Boutique Options for a New York City Vacation,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-New-York-City-NY_NYLO-New-York-City-510b139da0a99444dd000010-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Gansevoort-Park-Avenue-NYC-509bfeba66edc84661023c13-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_The-Paramount-A-Times-Square-New-York-Hotel-509c011766edc846610422b2-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_The-Peninsula-New-York-509c011866edc84661042362-Reviews,n/a,,,j haase,0.1,n/a
,,,,,Where to Stay in Napa for Wine Lovers,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-napa-ca_3-palms-napa-valley-hotel-suites-509bfc8366edc84661009354-reviews,hipmunk.com/independent-hotels-in-napa-ca_napa-discovery-inn-509bfce366edc8466100dd06-reviews,hipmunk.com/independent-hotels-in-napa-ca_napa-river-inn-509bff1966edc84661028322-reviews,hipmunk.com/independent-hotels-in-napa-ca_river-terrace-inn-a-noble-house-hotel-509bfefb66edc84661026bb5-reviews,hipmunk.com/independent-hotels-in-napa-ca_silverado-resort-and-spa-509bfe8c66edc84661021d7e-reviews,,,will tang,0.2,n/a
,,,,,Boutique Hotels in Baltimore,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Baltimore-MD_Blue-Door-on-Baltimore-50ed1af4bb290e028a00000c-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Inn-at-2920-509bfd1266edc8466101021e-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Envy-Hotel-509bfe3b66edc8466101e45c-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Royal-Sonesta-Harbor-Court-Baltimore-509bfdd566edc84661019927-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Hotel-Monaco-Baltimore-a-Kimpton-Hotel-509bfdc766edc846610192df-Reviews,,,will tang,0.2,n/a
,,,,,Independent Stays in Blowing Rock,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Blowing-Rock-NC_Alpine-Village-Inn-5122b78da0a99417ec00000c-Reviews,hipmunk.com/Independent-Hotels-in-Blowing-Rock-NC_Green-Park-Inn-509bff5166edc8466102a69a-Reviews,hipmunk.com/Independent-Hotels-in-Blowing-Rock-NC_Cliff-Dwellers-Inn-509bfe3b66edc8466101e4ab-Reviews,hipmunk.com/Independent-Hotels-in-Blowing-Rock-NC_Hillwinds-Inn-509bfe7166edc84661020862-Reviews,hipmunk.com/Independent-Hotels-in-Blowing-Rock-NC_Ridgeway-Inn-509bfd9466edc84661016a47-Reviews,,,s balakrishnan,0.2,n/a
,,,,,The Best Boutique Hotels in Breckenridge,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Breckenridge-CO_Beaver-Run-Resort-Conference-Center-509bff1266edc84661027dec-Reviews,hipmunk.com/Independent-Hotels-in-Breckenridge-CO_Beaver-Run-Resort-Conference-Center-509bff1266edc84661027dec-Reviews,hipmunk.com/Independent-Hotels-in-Breckenridge-CO_The-Lodge-at-Breckenridge-509bfbeb66edc84661001823-Reviews,hipmunk.com/Independent-Hotels-in-Breckenridge-CO_Wedgewood-Lodge-509bfee266edc846610259a2-Reviews,hipmunk.com/Independent-Hotels-in-Breckenridge-CO_The-Bivouac-Bivvi-Hostel-509bff5266edc8466102a7ce-Reviews,,,s balakrishnan,0.2,n/a
,,,,,Boutique Stays in West Hollywood,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Los-Angeles-CA_Wilshire-Orange-Hotel-509c001c66edc84661034c9d-Reviews,hipmunk.com/Independent-Hotels-in-West-Hollywood-CA_London-West-Hollywood-509bfe7b66edc84661021101-Reviews,hipmunk.com/Independent-Hotels-in-West-Hollywood-CA_Mondrian-Los-Angeles-5257f8fa7f2c6c2dd90002f2-Reviews,hipmunk.com/Independent-Hotels-in-West-Hollywood-CA_The-Grafton-On-Sunset-509bff4a66edc8466102a354-Reviews,hipmunk.com/Independent-Hotels-in-West-Hollywood-CA_Sunset-Marquis-509c026466edc84661052dce-Reviews,,,kalafatis,0.12,n/a
,,,,,Scenic Stays in Virginia Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_The-Dolphin-Inn-509bff3466edc8466102979b-Reviews,hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_Founders-Inn-and-Spa-509bfe6666edc8466102046b-Reviews,hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_Grand-Ocean-Hotel-509bfd4666edc84661012c5c-Reviews,hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_Oceanfront-Inn-509c010566edc846610414bf-Reviews,hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_Ocean-Key-Resort-509bfe6466edc846610202d6-Reviews,,,kalafatis,0.12,n/a
