Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
boutique hotels in the US birmingham,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Birmingham-AL_Cobb-Lane-Bed-and-Breakfast-509bff1b66edc84661028476-Reviews,hipmunk.com/Independent-Hotels-in-Birmingham-AL_Redmont-Hotel-509bff2266edc84661028abc-Reviews,hipmunk.com/Independent-Hotels-in-Birmingham-AL_Sun-Suites-Of-Birmingham-509bfe8766edc84661021997-Reviews,hipmunk.com/Independent-Hotels-in-Birmingham-AL_Extended-Stay-America-Birmingham-Perimeter-Park-South-509bfbec66edc846610018b7-Reviews,hipmunk.com/Independent-Hotels-in-Birmingham-AL_La-Quinta-Inn-Birmingham-Cahaba-Park-South-509bfbf166edc84661001cbf-Reviews
boutique hotels in the US flagstaff,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Canyon-Inn-509bfbdb66edc84661000998-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Hotel-Aspen-InnSuites-FlagstaffGrand-Canyon-509c00f866edc846610408e5-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Little-America-Flagstaff-509bfd3166edc84661011bb9-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Wyndham-Flagstaff-5310aa0dc0852e2e420000a8-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Highland-Country-Inn-509bfc0466edc84661002cc1-Reviews
boutique hotels in the US sedona,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Sedona-AZ_Sedona-Real-Inn-Suites-509bfd3366edc84661011d56-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Baby-Quail-Inn-509bfe4566edc8466101eb2c-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Amara-Resort-and-Spa-a-Kimpton-Hotel-509bffd066edc84661030bc6-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Adobe-Grand-Villas-509bfc1e66edc8466100406c-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Sedona-Rouge-Hotel-And-Spa-509bfc8966edc846610097a4-Reviews
boutique hotels in the US carlsbad,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Carlsbad-By-The-Sea-Resort-509bfdc566edc84661019187-Reviews,hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Cape-Rey-Carlsbad-A-Hilton-Resort-509bfc2066edc846610042e1-Reviews,hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Omni-La-Costa-Resort-Spa-509bff1466edc84661028020-Reviews,hipmunk.com/Independent-Hotels-in-Carlsbad-CA_La-Quinta-Inn-Suites-San-Diego-Carlsbad-509bfecb66edc846610246cd-Reviews,hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Grand-Pacific-Palisades-Resort-Hotel-509bfeea66edc84661025fd0-Reviews
boutique hotels in the US la jolla,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Valencia-Hotel-509bfefb66edc84661026b69-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Jolla-Beach-and-Tennis-Club-509bfcd966edc8466100d486-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Grande-Colonial-Hotel-509bfe7d66edc84661021219-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Estancia-La-Jolla-Hotel-Spa-509bfdcc66edc84661019380-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Pantai-Inn-5367dfc1c0852e3a4d0000c0-Reviews
boutique hotels in the US santa fe,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Cities-Of-Gold-Casino-509bfe4f66edc8466101f418-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Eldorado-Hotel-Spa-509bfdc266edc84661018f20-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Inn-of-the-Governors-509bfed766edc846610250d0-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_El-Rey-Inn-509bfeef66edc846610261ca-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Las-Palomas-509bff1366edc84661027ec5-Reviews
boutique hotels in the US henderson,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Henderson-NV_Fiesta-Henderson-Hotel-and-Casino-509bfdc666edc846610191c6-Reviews,hipmunk.com/Independent-Hotels-in-Henderson-NV_The-M-Resort-Spa-Casino-509bfdc366edc84661018f5f-Reviews,hipmunk.com/Independent-Hotels-in-Henderson-NV_Sunset-Station-Hotel-Casino-509bfd7166edc84661015005-Reviews,hipmunk.com/Independent-Hotels-in-Henderson-NV_Green-Valley-Ranch-Resort-and-Spa-509bfdcf66edc846610194b4-Reviews,hipmunk.com/Independent-Hotels-in-Henderson-NV_Hilton-Lake-Las-Vegas-Resort-and-Spa-509bfdc566edc84661019156-Reviews
boutique hotels in the US reno,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Reno-NV_Harrahs-Casino-Hotel-Reno-509c024566edc84661051448-Reviews,hipmunk.com/Independent-Hotels-in-Reno-NV_Peppermill-Resort-Spa-Casino-50ed0c14bb290e6196000028-Reviews,hipmunk.com/Independent-Hotels-in-Reno-NV_Sands-Regency-Casino-Hotel-509c024566edc8466105144c-Reviews,hipmunk.com/Independent-Hotels-in-Reno-NV_Silver-Legacy-Resort-Casino-509bfdcf66edc846610194dd-Reviews,hipmunk.com/Independent-Hotels-in-Reno-NV_Circus-Circus-Hotel-Casino-Reno-509bfdc566edc8466101918f-Reviews
boutique hotels in the US brooklyn,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Lxure-Brooklyn-Suites-509c006266edc84661038c9b-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Galaxy-Motel-509bffb666edc8466102f504-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Hotel-Le-Jolie-509bfe4c66edc8466101f12c-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_B-Hotel-Hostel-5255f0507f2c6c31640003f4-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Eves-Place-509c004466edc84661037072-Reviews
boutique hotels in the US NYC,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-New-York-City-NY_Bentley-Hotel-5122d1a4a0a99452220001c6-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Hotel-Belleclaire-509bfdc466edc8466101906e-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_The-Marlton-Hotel-5255ecff7f2c6c3164000140-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_NYLO-New-York-City-510b139da0a99444dd000010-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Gansevoort-Park-Avenue-NYC-509bfeba66edc84661023c13-Reviews
