Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
boutique hotels in the US Alexandria,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-alexandria-va/crowne-plaza-old-town-alexandria-509bfdd766edc846610199a3-reviews,hipmunk.com/hotels-in-alexandria-va/the-westin-alexandria-509bff4566edc84661029f35-reviews,hipmunk.com/Independent-Hotels-in-Alexandria-VA_Extended-Stay-America-Alexandria-Eisenhower-Ave-509bfd4866edc84661012de9-Reviews,hipmunk.com/Independent-Hotels-in-Alexandria-VA_Hotel-Monaco-Alexandria-a-Kimpton-Hotel-509bfdd366edc846610197b9-Reviews,hipmunk.com/Independent-Hotels-in-Alexandria-VA_Quality-Inn-Suites-Near-Ft-Belvoir-509bfbe366edc8466100103e-Reviews
boutique hotels in the US Asheville,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-asheville-nc/crowne-plaza-resort-asheville-509bfdbf66edc84661018cfb-reviews,hipmunk.com/Independent-Hotels-in-Asheville-NC_Brookstone-Lodge-5122b7aaa0a99417ec0000ac-Reviews,hipmunk.com/Independent-Hotels-in-Asheville-NC_Guesthouse-International-Inn-Biltmore-509bfe8966edc84661021a80-Reviews,hipmunk.com/Independent-Hotels-in-Asheville-NC_The-Residences-At-Biltmore-509bfe1f66edc8466101ce93-Reviews,hipmunk.com/Independent-Hotels-in-Asheville-NC_Hill-House-Bed-Breakfast-Inn-5255897c7f2c6c148100007e-Reviews
boutique hotels in the US Baltimore,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-baltimore-md/best-western-plus-hotel-conference-center-509c00e666edc8466103fe8d-reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Biltmore-Suites-Hotel-509bfc3266edc846610052b9-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Brookshire-Suites-Baltimores-Inner-Harbor-509bff0866edc846610277ae-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Embassy-Suites-Baltimore-Inner-Harbor-509bff0c66edc84661027983-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Hotel-Brexton-509bfe7f66edc84661021382-Reviews
boutique hotels in the US Belleview,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-bellevue-wa/hilton-bellevue-509c00ef66edc846610405a4-reviews,hipmunk.com/hotels-in-bellevue-wa/hyatt-regency-bellevue-509bfc1c66edc84661003ed5-reviews,hipmunk.com/hotels-in-bellevue-wa/sheraton-bellevue-hotel-509bfdce66edc846610193cc-reviews,hipmunk.com/independent-hotels-in-bellevue-wa_coast-bellevue-hotel-509bfdc266edc84661018e4f-reviews,hipmunk.com/independent-hotels-in-bellevue-wa_hotel-bellevue-509bff4b66edc8466102a3d9-reviews
boutique hotels in the US Bloomington,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-bloomington-mn/hyatt-place-minneapolis-airport-south-509bfdd266edc846610196ff-reviews,hipmunk.com/Independent-Hotels-in-Bloomington-MN_AmericInn-Hotel-Suites-Bloomington-West-509bfd4c66edc8466101316c-Reviews,hipmunk.com/Independent-Hotels-in-Bloomington-MN_La-Quinta-Inn-Minneapolis-AirportBloomington-509bfdc066edc84661018dbe-Reviews,hipmunk.com/Independent-Hotels-in-Bloomington-MN_La-Quinta-Inn-Suites-Mpls-Bloomington-West-509bff3566edc84661029870-Reviews,hipmunk.com/Independent-Hotels-in-Bloomington-MN_Northwood-Inn-Suites-509bfebf66edc84661023f6d-Reviews
boutique hotels in the US Burlingame,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-burlingame-ca/embassy-suites-san-francisco-airport-waterfront-509bfea666edc84661022ee5-reviews,hipmunk.com/Independent-Hotels-in-Burlingame-CA_Bay-Landing-San-Francisco-Airport-Hotel-509bfee866edc84661025e49-Reviews,hipmunk.com/Independent-Hotels-in-Burlingame-CA_Hyatt-Regency-San-Francisco-Airport-509bfe4566edc8466101ebdd-Reviews,hipmunk.com/independent-hotels-in-burlingame-ca_red-roof-inn-san-francisco-airport-509c00b066edc8466103d1a8-reviews,hipmunk.com/independent-hotels-in-burlingame-ca_vagabond-inn-executive-san-francisco-airport-509bfe7d66edc846610211ea-reviews
boutique hotels in the US Cambridge,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-cambridge-ma/boston-marriott-cambridge-509bfdc366edc84661018f64-reviews,hipmunk.com/hotels-in-cambridge-ma/courtyard-by-marriott-boston-cambridge-509bfee466edc84661025b33-reviews,hipmunk.com/Independent-Hotels-in-Cambridge-MA_The-Kendall-Hotel-509bfe6566edc846610202f0-Reviews,hipmunk.com/Independent-Hotels-in-Cambridge-MA_Harding-House-509bfce366edc8466100dd58-Reviews,hipmunk.com/independent-hotels-in-cambridge-ma_the-kendall-hotel-509bfe6566edc846610202f0-reviews
boutique hotels in the US Columbus,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-columbus-oh/hilton-columbuspolaris-509bff1466edc84661027f8f-reviews,hipmunk.com/independent-hotels-in-columbus-oh_red-roof-plus-columbus-downtown-convention-center-509bfee466edc84661025ab6-reviews,hipmunk.com/independent-hotels-in-columbus-oh_the-blackwell-509bfc3a66edc846610058e8-reviews,hipmunk.com/independent-hotels-in-columbus-oh_varsity-inn-osu-north-51226027a0a9944788000056-reviews,hipmunk.com/independent-hotels-in-columbus-oh_varsity-inn-south-hotel-509bfc8066edc8466100901a-reviews
boutique hotels in the US Indianapolis,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-indianapolis-in/sheraton-indianapolis-hotel-at-keystone-crossing-509bfe9a66edc84661022849-reviews,hipmunk.com/Independent-Hotels-in-Indianapolis-IN_Stone-Soup-Inn-509c00f566edc84661040712-Reviews,hipmunk.com/Independent-Hotels-in-Indianapolis-IN_The-Columbia-Club-509bff0366edc846610272d8-Reviews,hipmunk.com/Independent-Hotels-in-Indianapolis-IN_Sybaris-Pool-Suites-Indianapolis-53304d2ac0852e75fe00000c-Reviews,hipmunk.com/Independent-Hotels-in-Indianapolis-IN_Omni-Severin-Hotel-509bfdc466edc8466101904e-Reviews
boutique hotels in the US Irvine,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-irvine-ca/hilton-irvine-orange-county-airport-509bfdfd66edc8466101b5d5-reviews,hipmunk.com/hotels-in-irvine-ca/wyndham-irvine-orange-county-airport-509bfdd466edc846610198a0-reviews,hipmunk.com/hotels-in-irving-tx/aloft-las-colinas-509bfe9c66edc846610229e0-reviews,hipmunk.com/hotels-in-irving-tx/the-westin-dallas-fort-worth-airport-509bfe8c66edc84661021d58-reviews,hipmunk.com/Independent-Hotels-in-Irvine-CA_Atrium-Hotel-at-Orange-County-Airport-509bfdc366edc84661018f74-Reviews
