Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
boutique hotels in the US Baltimore,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-baltimore-md/best-western-plus-hotel-conference-center-509c00e666edc8466103fe8d-reviews,hipmunk.com/independent-hotels-in-baltimore-md_hotel-monaco-baltimore-a-kimpton-hotel-509bfdc766edc846610192df-reviews,hipmunk.com/independent-hotels-in-baltimore-md_royal-sonesta-harbor-court-baltimore-509bfdd566edc84661019927-reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Royal-Sonesta-Harbor-Court-Baltimore-509bfdd566edc84661019927-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Hotel-Brexton-509bfe7f66edc84661021382-Reviews
boutique hotels in the US Alexandria,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-alexandria-va/crowne-plaza-old-town-alexandria-509bfdd766edc846610199a3-reviews,hipmunk.com/hotels-in-alexandria-va/hilton-alexandria-old-town-509bfdc366edc84661018f48-reviews,hipmunk.com/hotels-in-alexandria-va/the-westin-alexandria-509bff4566edc84661029f35-reviews,hipmunk.com/Independent-Hotels-in-Alexandria-VA_Alexandria-SW-Eisenhower-Ave-509bfdf466edc8466101aee9-Reviews,hipmunk.com/Independent-Hotels-in-Alexandria-VA_Extended-Stay-America-Alexandria-Eisenhower-Ave-509bfd4866edc84661012de9-Reviews
boutique hotels in the US Asheville,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-asheville-nc/crowne-plaza-resort-asheville-509bfdbf66edc84661018cfb-reviews,hipmunk.com/independent-hotels-in-asheville-nc_red-roof-inn-asheville-west-509c010666edc8466104157f-reviews,hipmunk.com/independent-hotels-in-asheville-nc_guesthouse-international-inn-biltmore-509bfe8966edc84661021a80-reviews,hipmunk.com/Independent-Hotels-in-Asheville-NC_Hill-House-Bed-Breakfast-Inn-5255897c7f2c6c148100007e-Reviews,hipmunk.com/Independent-Hotels-in-Asheville-NC_Brookstone-Lodge-5122b7aaa0a99417ec0000ac-Reviews
boutique hotels in the US Hollywood,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-hollywood-ca/motel-6-los-angeles-hollywood-509bfd9966edc84661016e7f-reviews,hipmunk.com/hotels-in-hollywood-ca/w-hollywood-509c013b66edc846610440e3-reviews,hipmunk.com/hotels-in-hollywood-ca/w-hollywood-509c013b66edc846610440e3-reviews,hipmunk.com/independent-hotels-in-hollywood-ca_the-redbury-hollywood-and-vine-509bfe7466edc84661020b0b-reviews,hipmunk.com/independent-hotels-in-hollywood-ca_magic-castle-hotel-509bfd2f66edc846610119d4-reviews
boutique hotels in the US Houston,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-houston-tx/hilton-houston-post-oak-509bfdc366edc84661018ff3-reviews,hipmunk.com/hotels-in-houston-tx/hilton-americas-houston-509bfea966edc8466102318f-reviews,hipmunk.com/hotels-in-houston-tx/hotel-icon-autograph-collection-509bfe0f66edc8466101c27a-reviews,hipmunk.com/hotels-in-houston-tx/hyatt-regency-houston-509bfdd066edc846610195a5-reviews,hipmunk.com/hotels-in-houston-tx/the-st-regis-houston-509bfe1f66edc8466101cebf-reviews
boutique hotels in the US Washington DC,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-washington-dc/hyatt-regency-washington-dc-509bfdc466edc84661019017-reviews,hipmunk.com/hotels-in-washington-dc/the-ritz-carlton-washington-dc-509bfdd166edc84661019632-reviews,hipmunk.com/hotels-in-washington-dc/w-washington-dc-509c00d266edc8466103eee7-reviews,hipmunk.com/independent-hotels-in-washington-dc_omni-shoreham-hotel-509bfdc366edc84661018fa7-reviews,hipmunk.com/independent-hotels-in-washington-dc_the-hay-adams-509bfe1d66edc8466101cce0-reviews
boutique hotels in the US Palm Springs,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-palm-springs-ca_caliente-tropics-hotel-509bff1966edc84661028323-reviews,hipmunk.com/independent-hotels-in-palm-springs-ca_hard-rock-hotel-palm-springs-509bfef666edc84661026788-reviews,hipmunk.com/independent-hotels-in-palm-springs-ca_the-curve-palm-springs-hotel-509bfcc866edc8466100c713-reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_LHorizon-Resort-Spa-509bfdc766edc84661019294-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Garden-Vista-Hotel-5290946dc0852e4e750001c0-Reviews
boutique hotels in the US Miami,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-miami-fl_sonesta-coconut-grove-miami-509bfdc066edc84661018e01-reviews,hipmunk.com/hotels-in-miami-fl/doubletree-by-hilton-grand-hotel-biscayne-bay-509bfdce66edc84661019446-reviews,hipmunk.com/independent-hotels-in-miami-beach-fl_south-seas-hotel-51237e04a0a99422e30002fe-reviews,hipmunk.com/hotels-in-miami-fl/the-ritz-carlton-coconut-grove-miami-509bfefb66edc84661026b74-reviews,hipmunk.com/hotels-in-miami-fl/conrad-miami-509c013066edc84661043704-reviews
boutique hotels in the US Miami Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-miami-beach-fl/shelborne-wyndham-grand-south-beach-509c013066edc846610436ea-reviews,hipmunk.com/independent-hotels-in-miami-beach-fl_catalina-hotel-beach-club-509bfdbf66edc84661018c77-reviews,hipmunk.com/independent-hotels-in-miami-beach-fl_clevelander-hotel-509bfdcf66edc8466101949c-reviews,hipmunk.com/independent-hotels-in-miami-beach-fl_loews-miami-beach-hotel-509bfc5e66edc846610074dc-reviews,hipmunk.com/independent-hotels-in-miami-beach-fl_south-seas-hotel-51237e04a0a99422e30002fe-reviews
boutique hotels in the US Monterey,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-monterey-ca/best-western-plus-victorian-inn-509bff2266edc84661028abb-reviews,hipmunk.com/hotels-in-monterey-ca/holiday-inn-express-monterey-cannery-row-509bfdf566edc8466101afa8-reviews,hipmunk.com/independent-hotels-in-monterey-ca_casa-munras-garden-hotel-spa-509bfefb66edc84661026be1-reviews,hipmunk.com/independent-hotels-in-monterey-ca_monterey-plaza-hotel-spa-509bff1066edc84661027c94-reviews,hipmunk.com/independent-hotels-in-monterey-ca_portola-hotel-spa-at-monterey-bay-509bfe6566edc846610202ee-reviews
