Task Name,Directions,Link,Link,Link,Link,Link
boutique hotels in the US Albuquerque,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Cascada-5254d4a07f2c6c59ae00004d-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Isleta-Resort-and-Casino-5254d5297f2c6c59ae0000d1-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_MCM-Elegante-509bfe1f66edc8466101ce16-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Nativo-Lodge-509bfe9766edc84661022610-Reviews,hipmunk.com/independent-hotels-in-albuquerque-nm_hotel-andaluz-509bfd7166edc84661014f74-reviews
boutique hotels in the US Albuquerque,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Clubhouse-Inn-Albuquerque-509bfea366edc84661022ced-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Albuquerque-at-Old-Town-509bfe3266edc8466101dd9f-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Blue-Albuquerque-Downtown-509bfe4b66edc8466101f0c7-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Parq-Central-509bff1d66edc84661028685-Reviews,hipmunk.com/independent-hotels-in-albuquerque-nm_mcm-elegante-509bfe1f66edc8466101ce16-reviews
boutique hotels in the US Bellevue,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-bellevue-wa/hilton-bellevue-509c00ef66edc846610405a4-reviews,hipmunk.com/Independent-Hotels-in-Bellevue-WA_Coast-Bellevue-Hotel-509bfdc266edc84661018e4f-Reviews,hipmunk.com/Independent-Hotels-in-Bellevue-WA_Hotel-Bellevue-509bff4b66edc8466102a3d9-Reviews,hipmunk.com/Independent-Hotels-in-Bellevue-WA_Red-Lion-Hotel-Bellevue-509bff4a66edc8466102a39c-Reviews,hipmunk.com/Independent-Hotels-in-Bellevue-WA_Silver-Cloud-Hotel-Bellevue-Eastgate-509bfe9b66edc846610228f5-Reviews
boutique hotels in the US Bellevue,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-bellevue-wa/hyatt-regency-bellevue-509bfc1c66edc84661003ed5-reviews,hipmunk.com/independent-hotels-in-bellevue-wa_coast-bellevue-hotel-509bfdc266edc84661018e4f-reviews,hipmunk.com/independent-hotels-in-bellevue-wa_coast-bellevue-hotel-509bfdc266edc84661018e4f-reviews,hipmunk.com/independent-hotels-in-bellevue-wa_coast-bellevue-hotel-509bfdc266edc84661018e4f-reviews,hipmunk.com/independent-hotels-in-bellevue-wa_silver-cloud-hotel-bellevue-eastgate-509bfe9b66edc846610228f5-reviews
boutique hotels in the US Cambridge,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Cambridge-MA_Harvard-Square-Hotel-509bfd8b66edc84661016349-Reviews,hipmunk.com/hotels-in-cambridge-ma/boston-marriott-cambridge-509bfdc366edc84661018f64-reviews,hipmunk.com/Independent-Hotels-in-Cambridge-MA_Hotel-Marlowe-a-Kimpton-Hotel-509bfdd366edc846610197ee-Reviews,hipmunk.com/Independent-Hotels-in-Cambridge-MA_Hotel-Veritas-509bfe4f66edc8466101f416-Reviews,hipmunk.com/Independent-Hotels-in-Cambridge-MA_Royal-Sonesta-Boston-509bfdd366edc84661019757-Reviews
boutique hotels in the US Cambridge,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Cambridge-MA_The-Charles-Hotel-509bfdd166edc8466101962d-Reviews,,hipmunk.com/Independent-Hotels-in-Cambridge-MA_The-Kendall-Hotel-509bfe6566edc846610202f0-Reviews,hipmunk.com/hotels-in-cambridge-ma/courtyard-by-marriott-boston-cambridge-509bfee466edc84661025b33-reviews,hipmunk.com/Independent-Hotels-in-Cambridge-MA_Harding-House-509bfce366edc8466100dd58-Reviews
boutique hotels in the US Chicago,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-chicago-il/aloft-chicago-city-center-509c01b766edc84661049fb8-reviews,hipmunk.com/hotels-in-chicago-il/best-western-plus-hawthorne-terrace-hotel-509bfee566edc84661025bd8-reviews,hipmunk.com/hotels-in-chicago-il/fairfield-inn-suites-chicago-downtownriver-north-509c024c66edc84661051a57-reviews,hipmunk.com/hotels-in-chicago-il/hilton-chicago-ohare-airport-509bfdaf66edc84661018274-reviews,hipmunk.com/independent-hotels-in-chicago-il_trump-international-hotel-tower-chicago-509bfe3766edc8466101e180-reviews
boutique hotels in the US Chicago,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-chicago-il/the-westin-michigan-avenue-chicago-509bfdce66edc846610193b6-reviews,hipmunk.com/independent-hotels-in-chicago-il_chicago-getaway-hostel-509bfdc566edc846610190e5-reviews,hipmunk.com/independent-hotels-in-chicago-il_hotel-monaco-chicago-a-kimpton-hotel-509bfdd266edc84661019694-reviews,hipmunk.com/independent-hotels-in-chicago-il_millennium-knickerbocker-509bfdc766edc84661019276-reviews,hipmunk.com/hotels-in-chicago-il/best-western-plus-hawthorne-terrace-hotel-509bfee566edc84661025bd8-reviews
boutique hotels in the US Columbus,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-columbus-oh/hilton-columbuspolaris-509bff1466edc84661027f8f-reviews,hipmunk.com/Independent-Hotels-in-Columbus-OH_Red-Roof-PLUS-Columbus-The-Ohio-State-University-509bfe9866edc846610226f8-Reviews,hipmunk.com/Independent-Hotels-in-Columbus-OH_Extended-Stay-America-Columbus-Polaris-509bfe2166edc8466101d043-Reviews,hipmunk.com/Independent-Hotels-in-Columbus-OH_Hawthorne-Park-Bed-and-Breakfast-525565a37f2c6c69f5000143-Reviews,hipmunk.com/Independent-Hotels-in-Columbus-OH_Fort-Rapids-Indoor-Waterpark-Resort-509bfd3466edc84661011e90-Reviews
boutique hotels in the US Chicago,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Columbus-OH_Red-Roof-PLUS-Columbus-Downtown-Convention-Center-509bfee466edc84661025ab6-Reviews,hipmunk.com/Independent-Hotels-in-Columbus-OH_The-Blackwell-509bfc3a66edc846610058e8-Reviews,hipmunk.com/Independent-Hotels-in-Columbus-OH_The-Lofts-Hotel-509bfe7066edc846610207e4-Reviews,hipmunk.com/Independent-Hotels-in-Columbus-OH_Varsity-Inn-OSU-North-51226027a0a9944788000056-Reviews,hipmunk.com/Independent-Hotels-in-Columbus-OH_Varsity-Inn-South-Hotel-509bfc8066edc8466100901a-Reviews
