Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
destination unknown switzerland,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Kloten-Switzerland,hipmunk.com/Hotels-in-Lausanne-Switzerland,hipmunk.com/Hotels-in-Opfikon-Switzerland,hipmunk.com/Hotels-in-Basel-Switzerland,hipmunk.com/Hotels-in-Lucerne-Switzerland
destination unknown costa rica,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-El-Ocotal-Costa-Rica,hipmunk.com/Hotels-in-Tamarindo-Costa-Rica,hipmunk.com/Hotels-in-Fortuna-Costa-Rica,hipmunk.com/Hotels-in-Manuel-Antonio-Costa-Rica,hipmunk.com/Hotels-in-Papagayo-Costa-Rica
destination unknown germany,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Dusseldorf-Germany,hipmunk.com/Hotels-in-Cologne-Germany,hipmunk.com/Hotels-in-Nuremberg-Germany,hipmunk.com/Hotels-in-Bremen-Germany,hipmunk.com/Hotels-in-Dresden-Germany
destination unknown france,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Montpellier-France,hipmunk.com/Hotels-in-Lille-France,hipmunk.com/Hotels-in-Cannes-France,hipmunk.com/Hotels-in-Lyon-France,hipmunk.com/Hotels-in-Chamonix-Mont-Blanc-France
destination unknown indonesia,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Sanur-Indonesia,hipmunk.com/Hotels-in-Nusa-Dua-Indonesia,hipmunk.com/Hotels-in-Jimbaran-Indonesia,hipmunk.com/Hotels-in-Legian-Beach-Indonesia,hipmunk.com/Hotels-in-Ubud-Indonesia
destination unknown jamaica,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Negril-Jamaica,hipmunk.com/Hotels-in-Montego-Bay-Jamaica,hipmunk.com/Hotels-in-Runaway-Bay-Jamaica,hipmunk.com/Hotels-in-Lucea-Jamaica,hipmunk.com/Hotels-in-Ocho-Rios-Jamaica
destination unknown portugal,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Porto-Portugal,hipmunk.com/Hotels-in-Cascais-Portugal,hipmunk.com/Hotels-in-Vilamoura-Portugal,hipmunk.com/Hotels-in-Funchal-Portugal,hipmunk.com/Hotels-in-Albufeira-Portugal
destination unknown thailand,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Phuket-Thailand,hipmunk.com/Hotels-in-Ko-Samui-Thailand,hipmunk.com/Hotels-in-Kathu-Thailand,hipmunk.com/Hotels-in-Ko-Phi-Phi-Thailand,hipmunk.com/Hotels-in-Ko-Phangan-Thailand
destination unknown california,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Sacramento-CA,hipmunk.com/Hotels-in-West-Hollywood-CA,hipmunk.com/Hotels-in-Santa-Barbara-CA,hipmunk.com/Hotels-in-South-San-Francisco-CA,hipmunk.com/Hotels-in-Long-Beach-CA
destination unknown florida,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Panama-City-FL,hipmunk.com/Hotels-in-Jacksonville-FL,hipmunk.com/Hotels-in-Lake-Buena-Vista-FL,hipmunk.com/Hotels-in-Sunny-Isles-Beach-FL,hipmunk.com/Hotels-in-Panama-City-Beach-FL
destination unknown south carolina,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Isle-of-Palms-SC,hipmunk.com/Hotels-in-Hilton-Head-Island-SC,hipmunk.com/Hotels-in-Mount-Pleasant-SC,hipmunk.com/Hotels-in-North-Myrtle-Beach-SC,hipmunk.com/Hotels-in-Greenville-SC
destination unknown tennessee,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Franklin-TN,hipmunk.com/Hotels-in-Chattanooga-TN,hipmunk.com/Hotels-in-Knoxville-TN,hipmunk.com/Hotels-in-Pigeon-Forge-TN,hipmunk.com/Hotels-in-Gatlinburg-TN
destination unknown wisconsin,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Wisconsin-Dells-WI,hipmunk.com/Hotels-in-Appleton-WI,hipmunk.com/Hotels-in-Lake-Geneva-WI,hipmunk.com/Hotels-in-Brookfield-WI,hipmunk.com/Hotels-in-Madison-WI
destination unknown norway,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Gardermoen-Norway,hipmunk.com/Hotels-in-Tromso-Norway,hipmunk.com/Hotels-in-Stavanger-Norway,hipmunk.com/Hotels-in-Kristiansand-Norway,hipmunk.com/Hotels-in-Trondheim-Norway
destination unknown mexico,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Puerto-Vallarta-Mexico,hipmunk.com/Hotels-in-Playa-Mujeres-Mexico,hipmunk.com/Hotels-in-San-Jose-del-Cabo-Mexico,hipmunk.com/Hotels-in-Puerto-Morelos-Mexico,hipmunk.com/Hotels-in-Puerto-Aventuras-Mexico
destination unknown japan,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Osaka-Japan,hipmunk.com/Hotels-in-Sapporo-Japan,hipmunk.com/Hotels-in-Fukuoka-Japan,hipmunk.com/Hotels-in-Kyoto-Japan,x
destination unknown italy,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Amalfi-Italy,hipmunk.com/Hotels-in-Fiumicino-Italy,hipmunk.com/Hotels-in-Santa-Margherita-Ligure-Italy,hipmunk.com/Hotels-in-Arzachena-Italy,hipmunk.com/Hotels-in-Mestre-Italy
destination unknown UK,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Bristol-United-Kingdom,hipmunk.com/Hotels-in-Liverpool-United-Kingdom,hipmunk.com/Hotels-in-Glasgow-United-Kingdom,hipmunk.com/Hotels-in-Belfast-United-Kingdom,hipmunk.com/Hotels-in-Oxford-United-Kingdom
destination unknown ontario,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Sudbury-ON,hipmunk.com/Hotels-in-Vaughan-ON,hipmunk.com/Hotels-in-Markham-ON,hipmunk.com/Hotels-in-Windsor-ON,hipmunk.com/Hotels-in-Niagara-ON
destination unknown new south wales,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-The-Rocks-NSW,hipmunk.com/Hotels-in-Pyrmont-NSW,hipmunk.com/Hotels-in-Potts-Point-NSW,hipmunk.com/Hotels-in-Haymarket-NSW,x
destination unknown australia,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Brisbane-QLD,hipmunk.com/Hotels-in-Adelaide-SA,hipmunk.com/Hotels-in-Hobart-TAS,hipmunk.com/Hotels-in-Perth-WT,hipmunk.com/Hotels-in-Southbank
destination unknown colombia,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-San-Andres-Island-Colombia,hipmunk.com/Hotels-in-Cartagena-Colombia,hipmunk.com/Hotels-in-Medellin-Colombia,hipmunk.com/Hotels-in-Bogota-Colombia,x
destination unknown denmark,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Aarhus-Denmark,hipmunk.com/Hotels-in-Aalborg-Denmark,hipmunk.com/Hotels-in-Frederiksberg-Denmark,hipmunk.com/Hotels-in-Kastrup-Denmark,x
destination unknown spain,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Granada-Spain,hipmunk.com/Hotels-in-Torremolinos-Spain,hipmunk.com/Hotels-in-Seville-Spain,hipmunk.com/Hotels-in-Valencia-Spain,hipmunk.com/Hotels-in-Sant-Josep-De-Sa-Talaia-Spain
destination unknown netherlands,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Rotterdam-Netherlands,hipmunk.com/Hotels-in-Hoofddorp-Netherlands,hipmunk.com/Hotels-in-The-Hague-Netherlands,hipmunk.com/Hotels-in-Schiphol-Netherlands,x
destination unknown sweden,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Arlanda-Sweden,hipmunk.com/Hotels-in-Lund-Sweden,hipmunk.com/Hotels-in-Helsingborg-Sweden,hipmunk.com/Hotels-in-Malmo-Sweden,x
destination unknown new jersey,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.
",hipmunk.com/Hotels-in-Weehawken-NJ,hipmunk.com/Hotels-in-Elizabeth-NJ,hipmunk.com/Hotels-in-North-Bergen-NJ,hipmunk.com/Hotels-in-Jersey-City-NJ,hipmunk.com/Hotels-in-Secaucus-NJ
