Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
destination unknown new south wales,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-The-Rocks-NSW,hipmunk.com/Hotels-in-Pyrmont-NSW,hipmunk.com/Hotels-in-Potts-Point-NSW,hipmunk.com/Hotels-in-Haymarket-NSW,x
destination unknown switzerland,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Zurich-Switzerland,hipmunk.com/Hotels-in-Montreux-Switzerland,hipmunk.com/Hotels-in-Cointrin-Switzerland,hipmunk.com/Hotels-in-Kloten-Switzerland,hipmunk.com/Hotels-in-Lausanne-Switzerland
destination unknown costa rica,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-El-Ocotal-Costa-Rica,hipmunk.com/Hotels-in-Fortuna-Costa-Rica,hipmunk.com/Hotels-in-Tamarindo-Costa-Rica,hipmunk.com/Hotels-in-Manuel-Antonio-Costa-Rica,hipmunk.com/Hotels-in-Papagayo-Costa-Rica
destination unknown germany,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Dusseldorf-Germany,hipmunk.com/Hotels-in-Cologne-Germany,hipmunk.com/Hotels-in-Leipzig-Germany,hipmunk.com/Hotels-in-Stuttgart-Germany,hipmunk.com/Hotels-in-Nuremberg-Germany
destination unknown france,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Cannes-France,hipmunk.com/Hotels-in-Lyon-France,hipmunk.com/Hotels-in-Chessy-France,hipmunk.com/Hotels-in-Courbevoie-France,hipmunk.com/Hotels-in-Avignon-France
destination unknown japan,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Osaka-Japan,hipmunk.com/Hotels-in-Sapporo-Japan,hipmunk.com/Hotels-in-Fukuoka-Japan,hipmunk.com/Hotels-in-Kyoto-Japan,x
destination unknown portugal,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Porto-Portugal,hipmunk.com/Hotels-in-Cascais-Portugal,hipmunk.com/Hotels-in-Albufeira-Portugal,hipmunk.com/Hotels-in-Vilamoura-Portugal,hipmunk.com/Hotels-in-Funchal-Portugal
destination unknown thailand,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Hua-Hin-Thailand,hipmunk.com/Hotels-in-Pattaya-Thailand,hipmunk.com/Hotels-in-Thalang-Thailand,hipmunk.com/Hotels-in-Krabi-Thailand,hipmunk.com/Hotels-in-Chiengmai-Thailand
destination unknown florida,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Panama-City-FL,hipmunk.com/Hotels-in-Jacksonville-FL,hipmunk.com/Hotels-in-Lake-Buena-Vista-FL,hipmunk.com/Hotels-in-Sunny-Isles-Beach-FL,hipmunk.com/Hotels-in-Panama-City-Beach-FL
destination unknown indonesia,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Seminyak-Indonesia,hipmunk.com/Hotels-in-Bintan-Island-Indonesia-Indonesia,hipmunk.com/Hotels-in-Sanur-Indonesia,hipmunk.com/Hotels-in-Nusa-Dua-Indonesia,hipmunk.com/Hotels-in-Jimbaran-Indonesia
destination unknown spain,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-San-Bartolome-de-Tirajana-Spain,hipmunk.com/Hotels-in-Alcudia-Spain,hipmunk.com/Hotels-in-LHospitalet-De-Llobregat-Spain,hipmunk.com/Hotels-in-Adeje-Spain,hipmunk.com/Hotels-in-Palma-Spain
destination unknown ontario,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Niagara-ON,hipmunk.com/Hotels-in-Sudbury-ON,hipmunk.com/Hotels-in-Vaughan-ON,hipmunk.com/Hotels-in-Markham-ON,hipmunk.com/Hotels-in-Windsor-ON
destination unknown south carolina,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Isle-of-Palms-SC,hipmunk.com/Hotels-in-Hilton-Head-Island-SC,hipmunk.com/Hotels-in-Mount-Pleasant-SC,hipmunk.com/Hotels-in-North-Myrtle-Beach-SC,hipmunk.com/Hotels-in-Greenville-SC
destination unknown maryland,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Rockville-MD,hipmunk.com/Hotels-in-Silver-Spring-MD,hipmunk.com/Hotels-in-Gaithersburg-MD,hipmunk.com/Hotels-in-Annapolis-MD,hipmunk.com/Hotels-in-Linthicum-Heights-MD
destination unknown florida beaches,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Cocoa-Beach-FL,hipmunk.com/Hotels-in-Fort-Myers-Beach-FL,hipmunk.com/Hotels-in-Pensacola-Beach-FL,hipmunk.com/Hotels-in-Daytona-Beach-FL,hipmunk.com/Hotels-in-West-Palm-Beach-FL
destination unknown colorado,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Breckenridge-CO,hipmunk.com/Hotels-in-Colorado-Springs-CO,hipmunk.com/Hotels-in-Boulder-CO,hipmunk.com/Hotels-in-Vail-CO,hipmunk.com/Hotels-in-Telluride-CO
destination unknown california,"These are your Destination Unknown assignments. The basic idea is to write about lesser-known destinations in a way that gets people's interest! In optional fields 4-8 you'll find your 4-5 destinations, which are grouped roughly by location or type. I've titled these with the campaign name + location; please read the style guide for instructions about your specific titles. Let me know if there are any concerns.",hipmunk.com/Hotels-in-Sacramento-CA,hipmunk.com/Hotels-in-West-Hollywood-CA,hipmunk.com/Hotels-in-Santa-Barbara-CA,hipmunk.com/Hotels-in-Long-Beach-CA,hipmunk.com/Hotels-in-South-San-Francisco-CA
