Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
,,,,,hipmunk hotels midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Rosemont-IL,https://www.hipmunk.com/Hotels-in-Cleveland-OH,https://www.hipmunk.com/Hotels-in-Peoria-IL,https://www.hipmunk.com/Hotels-in-Rockford-IL,https://www.hipmunk.com/Hotels-in-Grand-Rapids-MI
,,,,,hipmunk hotels northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Braintree-MA,https://www.hipmunk.com/Hotels-in-Allentown-PA,https://www.hipmunk.com/Hotels-in-Rochester-NY,https://www.hipmunk.com/Hotels-in-Jersey-City-NJ,https://www.hipmunk.com/Hotels-in-Pittsburgh-PA
,,,,,hipmunk hotels deep south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Raleigh-NC,https://www.hipmunk.com/Hotels-in-Lexington-KY,https://www.hipmunk.com/Hotels-in-Huntsville-AL,https://www.hipmunk.com/Hotels-in-Chattanooga-TN,https://www.hipmunk.com/Hotels-in-Daytona-Beach-FL
,,,,,hipmunk hotels florida beaches,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Panama-City-Beach-FL,https://www.hipmunk.com/Hotels-in-Fort-Myers-Beach-FL,https://www.hipmunk.com/Hotels-in-Clearwater-Beach-FL,https://www.hipmunk.com/Hotels-in-West-Palm-Beach-FL,https://www.hipmunk.com/Hotels-in-Daytona-Beach-FL
,,,,,hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Fort-Myers-FL,https://www.hipmunk.com/Hotels-in-Augusta-GA,https://www.hipmunk.com/Hotels-in-Norcross-GA,https://www.hipmunk.com/Hotels-in-Gainesville-FL,https://www.hipmunk.com/Hotels-in-Lafayette-LA
,,,,,hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Sanibel-FL,https://www.hipmunk.com/Hotels-in-Jacksonville-FL,https://www.hipmunk.com/Hotels-in-College-Park-GA,https://www.hipmunk.com/Hotels-in-Charleston-SC,https://www.hipmunk.com/Hotels-in-Mcallen-TX
,,,,,hipmunk hotels california,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Santa-Ana-CA,https://www.hipmunk.com/Hotels-in-Sonoma-CA,https://www.hipmunk.com/Hotels-in-South-Lake-Tahoe-CA,https://www.hipmunk.com/Hotels-in-Glendale-CA,https://www.hipmunk.com/Hotels-in-Torrance-CA
,,,,,hipmunk hotels northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Rochester-NY,https://www.hipmunk.com/Hotels-in-Jersey-City-NJ,https://www.hipmunk.com/Hotels-in-Newport-RI,https://www.hipmunk.com/Hotels-in-East-Elmhurst-NY,https://www.hipmunk.com/Hotels-in-Newark-NJ
,,,,,hipmunk hotels midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Billings-MT,https://www.hipmunk.com/Hotels-in-Rosemont-IL,https://www.hipmunk.com/Hotels-in-Branson-MO,https://www.hipmunk.com/Hotels-in-Cincinnati-OH,https://www.hipmunk.com/Hotels-in-Traverse-City-MI
,,,,,hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Alexandria-VA,https://www.hipmunk.com/Hotels-in-Hot-Springs-Village-AR,https://www.hipmunk.com/Hotels-in-Dover-DE,https://www.hipmunk.com/Hotels-in-Biloxi-MS,https://www.hipmunk.com/Hotels-in-Tallahassee-FL
,,,,,hipmunk hotels west,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Vail-CO,https://www.hipmunk.com/Hotels-in-Kent-WA,https://www.hipmunk.com/Hotels-in-Stateline-NV,https://www.hipmunk.com/Hotels-in-Reno-NV,https://www.hipmunk.com/Hotels-in-Napa-CA
,,,,,hipmunk hotels west,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Boise-ID,https://www.hipmunk.com/Hotels-in-Henderson-NV,https://www.hipmunk.com/Hotels-in-Redding-CA,https://www.hipmunk.com/Hotels-in-Flagstaff-AZ,https://www.hipmunk.com/Hotels-in-Laughlin-NV
,,,,,hipmunk hotels midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Detroit-MI,https://www.hipmunk.com/Hotels-in-Saint-Louis-MO,https://www.hipmunk.com/Hotels-in-Minneapolis-MN,https://www.hipmunk.com/Hotels-in-Bismarck-ND,https://www.hipmunk.com/Hotels-in-Lincoln-NE
,,,,,hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Gatlinburg-TN,https://www.hipmunk.com/Hotels-in-Raleigh-NC,https://www.hipmunk.com/Hotels-in-Huntsville-AL,https://www.hipmunk.com/Hotels-in-Lexington-KY,https://www.hipmunk.com/Hotels-in-Corpus-Christi-TX
,,,,,hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Virginia-Beach-VA,https://www.hipmunk.com/Hotels-in-Sarasota-FL,https://www.hipmunk.com/Hotels-in-Tuscaloosa-AL,https://www.hipmunk.com/Hotels-in-El-Paso-TX,https://www.hipmunk.com/Hotels-in-Greensboro-NC
,,,,,hipmunk hotels california,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Monterey-CA,https://www.hipmunk.com/Hotels-in-Marina-Del-Rey-CA,https://www.hipmunk.com/Hotels-in-Carlsbad-CA,https://www.hipmunk.com/Hotels-in-San-Luis-Obispo-CA,https://www.hipmunk.com/Hotels-in-Orange-CA
