Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-mobile-al,hipmunk.com/hotels-in-fort-lauderdale-fl,hipmunk.com/hotels-in-treasure-island-fl,hipmunk.com/hotels-in-grapevine-tx,https://www.hipmunk.com/Hotels-in-Newport-News-VA
hipmunk hotels deep south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Memphis-TN,https://www.hipmunk.com/Hotels-in-Charleston-SC,https://www.hipmunk.com/Hotels-in-Raleigh-NC,https://www.hipmunk.com/Hotels-in-Morgantown-WV,hipmunk.com/hotels-in-kissimmee-fl
hipmunk hotels california,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-San-Luis-Obispo-CA,https://www.hipmunk.com/Hotels-in-Sonoma-CA,https://www.hipmunk.com/Hotels-in-Ventura-CA,https://www.hipmunk.com/Hotels-in-Hawthorne-CA,https://www.hipmunk.com/Hotels-in-Carlsbad-CA
hipmunk hotels midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-lansing-mi,https://www.hipmunk.com/Hotels-in-Saint-Louis-MO,https://www.hipmunk.com/Hotels-in-Cincinnati-OH,hipmunk.com/hotels-in-wisconsin-dells-wi,hipmunk.com/hotels-in-wichita-ks
hipmunk hotels northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Burlington-VT,hipmunk.com/hotels-in-ithaca-ny,hipmunk.com/hotels-in-niagara-falls,hipmunk.com/hotels-in-reading-pa,hipmunk.com/hotels-in-roanoke-va
hipmunk hotels midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Salt-Lake-City-UT,https://www.hipmunk.com/Hotels-in-Peoria-IL,hipmunk.com/hotels-in-duluth-mn,https://www.hipmunk.com/Hotels-in-Omaha-NE,hipmunk.com/hotels-in-wisconsin-dells-wi
hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-College-Park-GA,https://www.hipmunk.com/Hotels-in-Dunwoody-GA,https://www.hipmunk.com/Hotels-in-Greensboro-NC,hipmunk.com/hotels-in-midland-tx,hipmunk.com/hotels-in-plano-tx
hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Salisbury-MD,https://www.hipmunk.com/Hotels-in-Tulsa-OK,hipmunk.com/hotels-in-myrtle-beach-sc,hipmunk.com/hotels-in-wheeling-wv,https://www.hipmunk.com/Hotels-in-Morgantown-WV
hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Huntsville-AL,hipmunk.com/hotels-in-kissimmee-fl,hipmunk.com/hotels-in-st-petersburg-fl,https://www.hipmunk.com/Hotels-in-Norcross-GA,https://www.hipmunk.com/Hotels-in-Charleston-SC
hipmunk hotels mountain states,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Fort-Collins-CO,https://www.hipmunk.com/Hotels-in-Phoenix-AZ,hipmunk.com/hotels-in-glenwood-springs-co,https://www.hipmunk.com/Hotels-in-Sedona-AZ,https://www.hipmunk.com/Hotels-in-Flagstaff-AZ
hipmunk hotels midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-wichita-ks,https://www.hipmunk.com/Hotels-in-Detroit-MI,https://www.hipmunk.com/Hotels-in-Kansas-City-MO,https://www.hipmunk.com/Hotels-in-Minneapolis-MN,https://www.hipmunk.com/Hotels-in-Columbus-OH
hipmunk hotels west,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Sedona-AZ,https://www.hipmunk.com/Hotels-in-Bend-OR,hipmunk.com/hotels-in-big-bear-lake-ca,hipmunk.com/hotels-in-napa-valley-ca,https://www.hipmunk.com/Hotels-in-Santa-Fe-NM
