Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
hipmunk hotels midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-south-bend-in,hipmunk.com/hotels-in-wichita-ks,hipmunk.com/hotels-in-lansing-mi,https://www.hipmunk.com/Hotels-in-Detroit-MI,https://www.hipmunk.com/Hotels-in-Saint-Louis-MO
hipmunk hotels northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-bar-harbor-me,hipmunk.com/hotels-in-atlantic-city-nj,hipmunk.com/hotels-in-albany-ny,hipmunk.com/hotels-in-ithaca-ny,hipmunk.com/hotels-in-stamford-ny
hipmunk hotels northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-niagara-falls,hipmunk.com/hotels-in-gettysburg-pa,hipmunk.com/hotels-in-lancaster-pa,hipmunk.com/hotels-in-roanoke-va,hipmunk.com/hotels-in-williamsburg
hipmunk hotels south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-gulf-shores-al,hipmunk.com/hotels-in-mobile-al,https://www.hipmunk.com/Hotels-in-Huntsville-AL,https://www.hipmunk.com/Hotels-in-Hot-Springs-Village-AR,https://www.hipmunk.com/Hotels-in-Little-Rock-AR
hipmunk hotels deep south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-fort-lauderdale-fl,hipmunk.com/hotels-in-kissimmee-fl,https://www.hipmunk.com/Hotels-in-College-Park-GA,https://www.hipmunk.com/Hotels-in-Lafayette-LA,https://www.hipmunk.com/Hotels-in-Salisbury-MD
hipmunk hotels deep south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Charleston-SC,https://www.hipmunk.com/Hotels-in-Gatlinburg-TN,hipmunk.com/hotels-in-grapevine-tx,hipmunk.com/hotels-in-plano-tx,https://www.hipmunk.com/Hotels-in-Newport-News-VA
hipmunk hotels deep south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Morgantown-WV,hipmunk.com/hotels-in-midland-tx,hipmunk.com/hotels-in-fredericksburg-tx,hipmunk.com/hotels-in-grapevine-tx,hipmunk.com/hotels-in-plano-tx
hipmunk hotels west,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-big-bear-lake-ca,hipmunk.com/hotels-in-fairfield-ca,hipmunk.com/hotels-in-half-moon-bay-ca,hipmunk.com/hotels-in-napa-valley-ca,https://www.hipmunk.com/Hotels-in-Chula-Vista-CA
hipmunk hotels west,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-renton-wa,hipmunk.com/hotels-in-bellingham-wa,hipmunk.com/hotels-in-moab-ut,hipmunk.com/hotels-in-rapid-city-sd,hipmunk.com/hotels-in-missoula-mt
hipmunk hotels west,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: TKTKTK in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios :) let me know if you have any questions!",hipmunk.com/hotels-in-glenwood-springs-co,https://www.hipmunk.com/Hotels-in-Ventura-CA,https://www.hipmunk.com/Hotels-in-Torrance-CA,https://www.hipmunk.com/Hotels-in-South-Lake-Tahoe-CA,https://www.hipmunk.com/Hotels-in-Sonoma-CA
