campaign name,directions,links,links,links,links,links
Hipmunk Hotels South,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Fredericksburg-TX,https://www.hipmunk.com/Hotels-in-Pigeon-Forge-TN,https://www.hipmunk.com/Hotels-in-Chattanooga-TN,https://www.hipmunk.com/Hotels-in-San-Antonio-TX,https://www.hipmunk.com/Hotels-in-The-Woodlands-TX
Hipmunk Hotels West,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Flagstaff-AZ,https://www.hipmunk.com/Hotels-in-Page-AZ,https://www.hipmunk.com/Hotels-in-Yuma-AZ,https://www.hipmunk.com/Hotels-in-Lake-Havasu-City-AZ,https://www.hipmunk.com/Hotels-in-Pasadena-CA
Hipmunk Hotels West,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-West-Hollywood-CA,https://www.hipmunk.com/Hotels-in-Sacramento-CA,https://www.hipmunk.com/Hotels-in-Manhattan-Beach-CA,https://www.hipmunk.com/Hotels-in-Grand-Junction-CO,https://www.hipmunk.com/Hotels-in-Oxnard-CA
Hipmunk Hotels South,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Panama-City-FL,https://www.hipmunk.com/Hotels-in-Fort-Myers-Beach-FL,https://www.hipmunk.com/Hotels-in-Bossier-City-LA,https://www.hipmunk.com/Hotels-in-Gainesville-FL,https://www.hipmunk.com/Hotels-in-Jacksonville-FL
Hipmunk Hotels Northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Braintree-MA,https://www.hipmunk.com/Hotels-in-Hartford-CT,https://www.hipmunk.com/Hotels-in-New-Haven-CT,https://www.hipmunk.com/Hotels-in-Dover-DE,https://www.hipmunk.com/Hotels-in-Rehoboth-Beach-DE
Hipmunk Hotels South,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Amarillo-TX,https://www.hipmunk.com/Hotels-in-Mcallen-TX,https://www.hipmunk.com/Hotels-in-Irving-TX,https://www.hipmunk.com/Hotels-in-Round-Rock-TX,https://www.hipmunk.com/Hotels-in-Fajardo-Puerto-Rico
Hipmunk Hotels Northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Bethlehem-PA,https://www.hipmunk.com/Hotels-in-Lancaster-PA,https://www.hipmunk.com/Hotels-in-Warwick-RI,https://www.hipmunk.com/Hotels-in-Newport-RI,https://www.hipmunk.com/Hotels-in-Providence-RI
Hipmunk Hotels MidWest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Sioux-Falls-SD,https://www.hipmunk.com/Hotels-in-Tulsa-OK,https://www.hipmunk.com/Hotels-in-Oklahoma-City-OK,https://www.hipmunk.com/Hotels-in-Cleveland-OH,https://www.hipmunk.com/Hotels-in-Columbus-OH
Hipmunk Hotels Northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Jersey-City-NJ,https://www.hipmunk.com/Hotels-in-Wildwood-NJ,https://www.hipmunk.com/Hotels-in-North-Bergen-NJ,https://www.hipmunk.com/Hotels-in-North-Bergen-NJ,https://www.hipmunk.com/Hotels-in-Secaucus-NJ
Hipmunk Hotels West,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1   Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Santa-Fe-NM,https://www.hipmunk.com/Hotels-in-Stateline-NV,https://www.hipmunk.com/Hotels-in-Boise-ID,https://www.hipmunk.com/Hotels-in-Wailea-Maui-HI,https://www.hipmunk.com/Hotels-in-Glenwood-Springs-CO
