Task Name,Directions,Link
Insiders Guide Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/the-insiders-guide-to-conquering-comic-con/#.Vx-ojJMrJsM
EDM Vacation Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/tips-for-the-ultimate-and-drama-free-edm-vacation/#.Vx-pyZMrJsM
Cuba Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/how-to-visit-cuba-on-a-budget/#.Vx-okRMrK8U
Generation Gap Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/generation-gap-what-your-age-says-about-how-you-travel-2/#.Vx-oYBMrK8U
Packing Hacks Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/packing-hacks-every-traveler-needs-to-know/#.Vx-oSxMrK8U
Lowest Summer Airfare Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/hipmunks-guide-to-landing-the-lowest-summer-airfare/#.Vx-oJRMrK8U
Carry On Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/carry-on-with-tour-guides-brandon-presser/#.Vx-oGJMrJsM
Insiders Guide Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/the-insiders-guide-to-conquering-comic-con/#.Vx-ojJMrJsM
EDM Vacation Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/tips-for-the-ultimate-and-drama-free-edm-vacation/#.Vx-pyZMrJsM
Cuba Tailwind Syndication,"This task is for the Hipmunk Tailwind Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on Hipmunk's Tailwind Blog on 'Date' by TheHipmunk."" You must also link the byline to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform  Please let me know if you have any questions. Thank you!",https://www.hipmunk.com/tailwind/how-to-visit-cuba-on-a-budget/#.Vx-okRMrK8U
