Task Name,Directions,Link,Link,Link,Link,Link
Hipmunk Hotels Midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Rosemont-IL,https://www.hipmunk.com/Hotels-in-Troy-MI,https://www.hipmunk.com/Hotels-in-Kansas-City-MO,https://www.hipmunk.com/Hotels-in-Grand-Forks-ND,https://www.hipmunk.com/Hotels-in-Columbus-OH
Hipmunk Hotels Northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Rehoboth-Beach-DE,https://www.hipmunk.com/Hotels-in-Gaithersburg-MD,https://www.hipmunk.com/Hotels-in-Jersey-City-NJ,https://www.hipmunk.com/Hotels-in-Secaucus-NJ,https://www.hipmunk.com/Hotels-in-Amsterdam-NY
Hipmunk Hotels Northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Warwick-RI,https://www.hipmunk.com/Hotels-in-Richmond-VA,https://www.hipmunk.com/Hotels-in-Reston-VA,https://www.hipmunk.com/Hotels-in-Wheeling-WV,https://www.hipmunk.com/Hotels-in-Herndon-VA
Hipmunk Hotels South,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Birmingham-AL,https://www.hipmunk.com/Hotels-in-Mobile-AL,https://www.hipmunk.com/Hotels-in-Fort-Myers-Beach-FL,https://www.hipmunk.com/Hotels-in-College-Park-GA,https://www.hipmunk.com/Hotels-in-Augusta-GA
Hipmunk Hotels Florida,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Fort-Myers-Beach-FL,https://www.hipmunk.com/Hotels-in-Gainesville-FL,https://www.hipmunk.com/Hotels-in-Jacksonville-FL,https://www.hipmunk.com/Hotels-in-Cocoa-Beach-FL,https://www.hipmunk.com/Hotels-in-Treasure-Island-FL
Hipmunk Hotels Texas,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-San-Antonio-TX,https://www.hipmunk.com/Hotels-in-The-Woodlands-TX,https://www.hipmunk.com/Hotels-in-Fredericksburg-TX,https://www.hipmunk.com/Hotels-in-Irving-TX,https://www.hipmunk.com/Hotels-in-Amarillo-TX
Hipmunk Hotels California,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Manhattan-Beach-CA,https://www.hipmunk.com/Hotels-in-Chula-Vista-CA,https://www.hipmunk.com/Hotels-in-Pismo-Beach-CA,https://www.hipmunk.com/Hotels-in-Half-Moon-Bay-CA,https://www.hipmunk.com/Hotels-in-Sunnyvale-CA
Hipmunk Hotels California,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-El-Segundo-CA,https://www.hipmunk.com/Hotels-in-Glendale-CA,https://www.hipmunk.com/Hotels-in-Santa-Maria-CA,https://www.hipmunk.com/Hotels-in-Solvang-CA,https://www.hipmunk.com/Hotels-in-Redding-CA
Hipmunk Hotels Colorado,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Colorado-Springs-CO,https://www.hipmunk.com/Hotels-in-Keystone-CO,https://www.hipmunk.com/Hotels-in-Lakewood-CO,https://www.hipmunk.com/Hotels-in-Grand-Junction-CO,https://www.hipmunk.com/Hotels-in-Steamboat-Springs-CO
Hipmunk Hotels West,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those hotel mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please title these with the ""Hipmunk Hotels: 'Blank' in CITYNAMES"" format found in the assignment directions and the style guide. Otherwise, this is standard Hipmunk blog work. Don't forget the Hipmunk campaign info in your bios. Once the article is editor approved please publish to your blog. You can submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Boise-ID,https://www.hipmunk.com/Hotels-in-Stateline-NV,https://www.hipmunk.com/Hotels-in-Eugene-OR,https://www.hipmunk.com/Hotels-in-Saint-George-UT,https://www.hipmunk.com/Hotels-in-Moab-UT
