Optional Field 1,Optional Field 2,Optional Field 3,Optional Field 4
slane & slane - bracelet - Signature collection 18kt yellow gold and sterling silver oval hinged bracelet,http://store.jrdunn.com/product-p/ss00sm140-sbjrd.htm,ss00sm140-sbjrd,"hinge bracelet, slane and slane, slane & slane bracelet, yellow gold and sterling silver bracelet, yellow gold jewelry, sterling silver jewelry, mixed metal, mixed metal jewelry,denver, okala, davie, weston, wellington,  contemporary jewelery, modern,big bold,large,modern sexy jewelery,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, necklace, white gold, italian gold, california jeweler"
Slane & Slane - necklace - Signature double strand pearl necklace in 18kt gold and sterling silver 18&quot;,http://store.jrdunn.com/product-p/ss00sm240-wop2-18jrd.htm,ss00sm240-wop2-18jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling silver necklace, silver, silver bracelet, california jeweler, sisters, family, fashion design, new york designers, young design"
Slane & Slane: Signature domed ring in 18kt yellow gold and sterling silver.,http://store.jrdunn.com/product-p/ss00sm340-sr7.0jrd.htm,ss00sm340-sr7.0jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Signature pearl post drop earring in 18kt gold and sterling silver 0.11ctw,http://store.jrdunn.com/product-p/ss00sm440prl-sejrd.htm,ss00sm440prl-sejrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Signature J-Hoop earring in 18kt gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm440-sejrd.htm,ss00sm440-sejrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - pendant enhancer - Signature large pendant with pave diamonds and pearl in 18kt yellow gold and sterling silver .61tcw,http://store.jrdunn.com/product-p/ss00sm640prl-pvjrd.htm,ss00sm640prl-pvjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Signature small pendant with pave diamonds in 18kt yellow gold and sterling silver .14tcw,http://store.jrdunn.com/product-p/ss00sm640-pavejrd.htm,ss00sm640-pavejrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Signature Small pendant in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm640-spjrd.htm,ss00sm640-spjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - bracelet - Column mixed link bracelet in 18kt yellow gold and sterling silver 8inches in length,http://store.jrdunn.com/product-p/ss00sm107-mxlk8.0jrd.htm,ss00sm107-mxlk8.0jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column wide ridged hinged bangle in sterling silver with a 18kt yellow gold clasp,http://store.jrdunn.com/product-p/ss00sm111-cbbjrd.htm,ss00sm111-cbbjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column ridged oval hinged bangle in sterling sliver with a 18kt yellow gold clasp,http://store.jrdunn.com/product-p/ss00sm114-rrbjrd.htm,ss00sm114-rrbjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column smooth oval hinged bangle in sterling silver with a 18kt yellow gold clasp,http://store.jrdunn.com/product-p/ss00sm116-srbjrd.htm,ss00sm116-srbjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column beaded oval hinged bangle in sterling silver with a 18kt yellow gold clasp,http://store.jrdunn.com/product-p/ss00sm118-bdbjrd.htm,ss00sm118-bdbjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column beaded ring in 18kt yellow gold sterling silver,http://store.jrdunn.com/product-p/ss00sm320-rlr7.0jrd.htm,ss00sm320-rlr7.0jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
"Slane & Slane - ring - Set of five column rings, three of sterling silver, two of 18kt yellow gold, and one with pave diamonds .44tcw",http://store.jrdunn.com/product-p/ss00sm335-c5rp7.5jrd.htm,ss00sm335-c5rp7.5jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column beaded hoop earrings in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm412-bhjrd.htm,ss00sm412-bhjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Cross pendant with adventurine in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm672ad-lcrsjrd.htm,ss00sm672ad-lcrsjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Cross pendant with Carnelian in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm672b-lcrsjrd.htm,ss00sm672b-lcrsjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Cross pendant with crystal in 18kt gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm672cl-lcrsjrd.htm,ss00sm672cl-lcrsjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Cross pendant with Onyx in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm672x-lcrsjrd.htm,ss00sm672x-lcrsjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column link ring with faceted blue topaz in 18kt yellow gold and sterling sliver,http://store.jrdunn.com/product-p/ss00sm302g-clr7.0jrd.htm,ss00sm302g-clr7.0jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column link ring with faceted white topaz in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm302wh-clr7.0jrd.htm,ss00sm302wh-clr7.0jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column link ring in sterling silver with 18kt yellow gold  dome,http://store.jrdunn.com/product-p/ss00sm302gd-clr7.0jrd.htm,ss00sm302gd-clr7.0jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column link earring with faceted blue topaz in 18kt yellow gold and sterling sliver,http://store.jrdunn.com/product-p/ss00sm404g-clejrd.htm,ss00sm404g-clejrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column link earring with faceted white topaz in 18kt yellow gold and sterling sliver,http://store.jrdunn.com/product-p/ss00sm404wh-clejrd.htm,ss00sm404wh-clejrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column link earring with faceted lemon citrine in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm404q-clejrd.htm,ss00sm404q-clejrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column link earring in sterling silver with 18kt yellow gold dome,http://store.jrdunn.com/product-p/ss00sm404gd-clejrd.htm,ss00sm404gd-clejrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Fenestra post drop earrings in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm456-fenjrd.htm,ss00sm456-fenjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Small fenestra pendant with center diamond .10tcw in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm656d-fenjrd.htm,ss00sm656d-fenjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Petite Fenestra pendant with center diamond 0.05tcw in 18kt yellow gold and sterling silver.,http://store.jrdunn.com/product-p/ss00sm659d-fenjrd.htm,ss00sm659d-fenjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
"Slane & Slane - Long smooth oval link bracelet in sterling silver and 18kt yellow gold beaded toggle, 7.5 inches in length",http://store.jrdunn.com/product-p/ss00sm124-mbt7.5jrd.htm,ss00sm124-mbt7.5jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Fenestra one station necklace with center diamond 0.05tcw in 18kt yellow gold and sterling silver 16'',http://store.jrdunn.com/product-p/ss00sm223d-1fen16jrd.htm,ss00sm223d-1fen16jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - necklace - Fenestra five station necklace in 18kt yellow gold and sterling silver,http://store.jrdunn.com/product-p/ss00sm223-5fen36jrd.htm,ss00sm223-5fen36jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Fenestra french wire earrings in 18kt yellow gold and sterling silver with diamond center .20tcw,http://store.jrdunn.com/product-p/ss00sm444d-fenjrd.htm,ss00sm444d-fenjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - necklace - Mixed open link necklace in 18kt yellow gold and sterling silver 18'' in length,http://store.jrdunn.com/product-p/ss00sm207-mxlk18jrd.htm,ss00sm207-mxlk18jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - necklace - Mixed open link necklace in 18kt yellow gold and sterling silver 32'' in length,http://store.jrdunn.com/product-p/ss00sm207-mol32jrd.htm,ss00sm207-mol32jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - necklace - Mixed open link necklace in 18kt yellow gold and sterling silver 36'' in length,http://store.jrdunn.com/product-p/ss00sm207-mol36jrd.htm,ss00sm207-mol36jrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column wide ridged oval hinged bracelet in sterling silver,http://store.jrdunn.com/product-p/ss00ss111-cbbjrd.htm,ss00ss111-cbbjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
Slane & Slane - Column smooth oval hinged bangled in sterling sliver with pave diamond clasp 0.44tcw,http://store.jrdunn.com/product-p/ss00ss116-pcjrd.htm,ss00ss116-pcjrd,"slane & slane jewely,silver,florida jeweler, palm beach jeweler, dallas jeweler, texas, beverly hills jewelry, jewelrey, jewry, chicago jeweler, los angeles jeweler, la jeweler, celebrity, zodiac, two toned, 18kt yellow gold  silver necklace, sterling sil"
