EPID,CPID,eBay URL,Google search URL,Category Name,Catalog ID,Catalog Name,Product Title,PK,SK1,SK2,Desription
97352339,1413330773,http://catalog.ebay.com/97352339,http://www.google.com/search?q=Swarovski Optik 49081 Tripod,Cameras & Photo,772,Tripods,Swarovski Optik 49081 Tripod,,,,
97352369,1413330829,http://catalog.ebay.com/97352369,http://www.google.com/search?q=Amvona AT1016 Monopod,Cameras & Photo,772,Tripods,Amvona AT1016 Monopod,,,,
97352379,1413330837,http://catalog.ebay.com/97352379,http://www.google.com/search?q=Manfrotto 558B Monopod,Cameras & Photo,772,Tripods,Manfrotto 558B Monopod,,,,
97352389,1413330853,http://catalog.ebay.com/97352389,http://www.google.com/search?q=Gitzo G1257 Tripod,Cameras & Photo,772,Tripods,Gitzo G1257 Tripod,,,,
97352399,1413330901,http://catalog.ebay.com/97352399,http://www.google.com/search?q=Manfrotto 799-12300 Monopod,Cameras & Photo,772,Tripods,Manfrotto 799-12300 Monopod,,,,
97352409,1413330933,http://catalog.ebay.com/97352409,http://www.google.com/search?q=Kodak 1098243 Tripod,Cameras & Photo,772,Tripods,Kodak 1098243 Tripod,,,,
97352429,1413330963,http://catalog.ebay.com/97352429,http://www.google.com/search?q=Audiovox AC088 Tripod,Cameras & Photo,772,Tripods,Audiovox AC088 Tripod,,,,
97352449,1413330983,http://catalog.ebay.com/97352449,http://www.google.com/search?q=Vanguard VS-30 Tripod ,Cameras & Photo,772,Tripods,Vanguard VS-30 Tripod ,,,,
97352459,1413330977,http://catalog.ebay.com/97352459,http://www.google.com/search?q=Swarovski Optik 49130 Monopod,Cameras & Photo,772,Tripods,Swarovski Optik 49130 Monopod,,,,
97352469,1413330989,http://catalog.ebay.com/97352469,http://www.google.com/search?q=Sunpak TREK00130 Tripod,Cameras & Photo,772,Tripods,Sunpak TREK00130 Tripod,,,,
97352479,1413330997,http://catalog.ebay.com/97352479,"http://www.google.com/search?q=Manfrotto 351MVB2,3460 Tripod",Cameras & Photo,772,Tripods,"Manfrotto 351MVB2,3460 Tripod",,,,
97352489,1413331007,http://catalog.ebay.com/97352489,http://www.google.com/search?q=Manfrotto NGET1 Tripod,Cameras & Photo,772,Tripods,Manfrotto NGET1 Tripod,,,,
97352499,1413331011,http://catalog.ebay.com/97352499,http://www.google.com/search?q=Manfrotto MN190PRO Tripod,Cameras & Photo,772,Tripods,Manfrotto MN190PRO Tripod,,,,
97352509,1413331025,http://catalog.ebay.com/97352509,http://www.google.com/search?q=Bencher 850-41 Tripod,Cameras & Photo,772,Tripods,Bencher 850-41 Tripod,,,,
97352519,1413331041,http://catalog.ebay.com/97352519,http://www.google.com/search?q=Optavian OPTWT1003 Monopod,Cameras & Photo,772,Tripods,Optavian OPTWT1003 Monopod,,,,
97352529,1413331055,http://catalog.ebay.com/97352529,http://www.google.com/search?q=Sakar TR78 Tripod ,Cameras & Photo,772,Tripods,Sakar TR78 Tripod ,,,,
97352549,1413331073,http://catalog.ebay.com/97352549,http://www.google.com/search?q=Velbon DV7000 Tripod,Cameras & Photo,772,Tripods,Velbon DV7000 Tripod,,,,
97352559,1413331099,http://catalog.ebay.com/97352559,http://www.google.com/search?q=Davis &amp; Sanford dgbh4 Tripod,Cameras & Photo,772,Tripods,Davis &amp; Sanford dgbh4 Tripod,,,,
97352569,1413331093,http://catalog.ebay.com/97352569,http://www.google.com/search?q=Slik 618720 Monopod,Cameras & Photo,772,Tripods,Slik 618720 Monopod,,,,
97352579,1413331103,http://catalog.ebay.com/97352579,http://www.google.com/search?q=Bencher 850-21 Tripod,Cameras & Photo,772,Tripods,Bencher 850-21 Tripod,,,,
97352589,1413331135,http://catalog.ebay.com/97352589,http://www.google.com/search?q=Manfrotto 756CX3 Tripod,Cameras & Photo,772,Tripods,Manfrotto 756CX3 Tripod,,,,
97352599,1413331109,http://catalog.ebay.com/97352599,"http://www.google.com/search?q=Manfrotto 503,745BK Tripod",Cameras & Photo,772,Tripods,"Manfrotto 503,745BK Tripod",,,,
97352609,1413331147,http://catalog.ebay.com/97352609,http://www.google.com/search?q=Bogen Imaging 684B Monopod,Cameras & Photo,772,Tripods,Bogen Imaging 684B Monopod,,,,
97352639,1413331185,http://catalog.ebay.com/97352639,http://www.google.com/search?q=Velbon MAXI343E Tripod,Cameras & Photo,772,Tripods,Velbon MAXI343E Tripod,,,,
97352649,1413331219,http://catalog.ebay.com/97352649,http://www.google.com/search?q=Cartoni D612 Tripod,Cameras & Photo,772,Tripods,Cartoni D612 Tripod,,,,
97352659,1413331213,http://catalog.ebay.com/97352659,http://www.google.com/search?q=Leica Leica 328422 Tripod,Cameras & Photo,772,Tripods,Leica Leica 328422 Tripod,,,,
