eBay URL,Google search URL,Product Title
http://catalog.ebay.com/97352339,http://www.google.com/search?q=Swarovski Optik 49081 Tripod,Swarovski Optik 49081 Tripod
http://catalog.ebay.com/97352369,http://www.google.com/search?q=Amvona AT1016 Monopod,Amvona AT1016 Monopod
http://catalog.ebay.com/97352379,http://www.google.com/search?q=Manfrotto 558B Monopod,Manfrotto 558B Monopod
http://catalog.ebay.com/97352389,http://www.google.com/search?q=Gitzo G1257 Tripod,Gitzo G1257 Tripod
http://catalog.ebay.com/97352399,http://www.google.com/search?q=Manfrotto 799-12300 Monopod,Manfrotto 799-12300 Monopod
http://catalog.ebay.com/97352409,http://www.google.com/search?q=Kodak 1098243 Tripod,Kodak 1098243 Tripod
http://catalog.ebay.com/97352429,http://www.google.com/search?q=Audiovox AC088 Tripod,Audiovox AC088 Tripod
http://catalog.ebay.com/97352449,http://www.google.com/search?q=Vanguard VS-30 Tripod ,Vanguard VS-30 Tripod 
http://catalog.ebay.com/97352459,http://www.google.com/search?q=Swarovski Optik 49130 Monopod,Swarovski Optik 49130 Monopod
http://catalog.ebay.com/97352469,http://www.google.com/search?q=Sunpak TREK00130 Tripod,Sunpak TREK00130 Tripod
http://catalog.ebay.com/97352479,"http://www.google.com/search?q=Manfrotto 351MVB2,3460 Tripod","Manfrotto 351MVB2,3460 Tripod"
http://catalog.ebay.com/97352489,http://www.google.com/search?q=Manfrotto NGET1 Tripod,Manfrotto NGET1 Tripod
http://catalog.ebay.com/97352499,http://www.google.com/search?q=Manfrotto MN190PRO Tripod,Manfrotto MN190PRO Tripod
http://catalog.ebay.com/97352509,http://www.google.com/search?q=Bencher 850-41 Tripod,Bencher 850-41 Tripod
http://catalog.ebay.com/97352519,http://www.google.com/search?q=Optavian OPTWT1003 Monopod,Optavian OPTWT1003 Monopod
http://catalog.ebay.com/97352529,http://www.google.com/search?q=Sakar TR78 Tripod ,Sakar TR78 Tripod 
http://catalog.ebay.com/97352549,http://www.google.com/search?q=Velbon DV7000 Tripod,Velbon DV7000 Tripod
http://catalog.ebay.com/97352559,http://www.google.com/search?q=Davis &amp; Sanford dgbh4 Tripod,Davis &amp; Sanford dgbh4 Tripod
http://catalog.ebay.com/97352569,http://www.google.com/search?q=Slik 618720 Monopod,Slik 618720 Monopod
http://catalog.ebay.com/97352579,http://www.google.com/search?q=Bencher 850-21 Tripod,Bencher 850-21 Tripod
http://catalog.ebay.com/97352589,http://www.google.com/search?q=Manfrotto 756CX3 Tripod,Manfrotto 756CX3 Tripod
http://catalog.ebay.com/97352599,"http://www.google.com/search?q=Manfrotto 503,745BK Tripod","Manfrotto 503,745BK Tripod"
http://catalog.ebay.com/97352609,http://www.google.com/search?q=Bogen Imaging 684B Monopod,Bogen Imaging 684B Monopod
