eBay URL,Google search URL,Product Title
http://catalog.ebay.com/54842296,http://www.google.com/search?q=Cisco 3661 4-Port 10/100 Wired Router (CISCO3661),Cisco 3661 4-Port 10/100 Wired Router (CISCO3661)
http://catalog.ebay.com/54842326,http://www.google.com/search?q=Cisco uBR 7223 Router (UBR7223-MC14C),Cisco uBR 7223 Router (UBR7223-MC14C)
http://catalog.ebay.com/54842346,http://www.google.com/search?q=3Com OfficeConnect Remote 520 Access Router (3C410020A),3Com OfficeConnect Remote 520 Access Router (3C410020A)
http://catalog.ebay.com/54842356,http://www.google.com/search?q=Alcatel Pipeline 50 Router (P50-1UBRI-ASA),Alcatel Pipeline 50 Router (P50-1UBRI-ASA)
http://catalog.ebay.com/54842366,http://www.google.com/search?q=Intel Express 9510 1-Port 10/100 Wired Router (ER9510ST),Intel Express 9510 1-Port 10/100 Wired Router (ER9510ST)
http://catalog.ebay.com/54842376,http://www.google.com/search?q=Nortel Networks Nautica Clam 833 Wired Router (DA3501E18),Nortel Networks Nautica Clam 833 Wired Router (DA3501E18)
http://catalog.ebay.com/54842386,http://www.google.com/search?q=Multi-Tech Systems MVP410-G Router,Multi-Tech Systems MVP410-G Router
http://catalog.ebay.com/54842396,http://www.google.com/search?q=Cisco uBR 7114E Router (UBR7114E),Cisco uBR 7114E Router (UBR7114E)
http://catalog.ebay.com/54842426,http://www.google.com/search?q=3Com SuperStack II NETBuilder 527 Router (3C8527D),3Com SuperStack II NETBuilder 527 Router (3C8527D)
http://catalog.ebay.com/54842446,http://www.google.com/search?q=3Com OfficeConnect NETBuilder 142 Router (3CR8842A91),3Com OfficeConnect NETBuilder 142 Router (3CR8842A91)
http://catalog.ebay.com/54842456,http://www.google.com/search?q=3Com USR019106 Router,3Com USR019106 Router
http://catalog.ebay.com/54842466,http://www.google.com/search?q=SMC Barricade 7404WBRA 7404WBRA EU Router,SMC Barricade 7404WBRA 7404WBRA EU Router
http://catalog.ebay.com/54842506,http://www.google.com/search?q=Cisco SN5428 2-Port Gigabit Wired Router (SN5428-2-K9),Cisco SN5428 2-Port Gigabit Wired Router (SN5428-2-K9)
