Product Title,URL,Correct Title
Alcatel Pipeline 75 Router (P75-1SBRI-UK),http://alcatel-lucent.industrialpartner.com/networking-telecom/300071644.htm,Alcatel-Lucent Pipeline 75 Router (P75-1SBRI-UK)
Alcatel Ericsson Colorado 90-4936-03 Router,http://www.dealtime.com/Alcatel-Ericsson-Colorado-90-4936-03/info?tab=specs,Alcatel Ericsson Colorado 90-4936-03 Router (90-4936-03)
Marconi Systems NSX 9500 Router (209-1100-011),http://www.dealtime.com/Marco-Marconi-NSX-9500-209-1100-011/info?tab=specs,Marconi Systems NSX 9500 Router (209-1100-011)
Samsung HW-D650W 5.1 Channel Home Theater System,http://www.fixya.com/support/p3074558-samsung_hw_d650w_5_1_channel_3d_home_the,Samsung HW-D650W 5.1 Channel Home Theater System
Universal Remote Control ACVTD2 Tripod,http://wize.com/tripods/p62617-universal-remote-control-acvtd2,Universal Remote Control ACVTD2 Tripod
3Com 003443-0 Router,http://www.fixya.com/support/p318460-3com_003443_0_router,3Com 003443-0 Router
Gadzoox Networks Geminix 10/100 Wired Router (GZ-1049-1),http://reviews.cnet.com/routers/gadzoox-geminix-router-none/1707-3319_7-30436757.html,Gadzoox Networks Geminix 10/100 Wired Router (GZ-1049-1)
D-link DSDLDI614P Router,http://www.epinions.com/pr-D-Link_DI-614_AirPlus_Enhanced_2_4GHz_802_11b_Wireless_Router_Retail_dsdldi614p_Network_Adapter/display_~full_specs,D-link DSDLDI614P Router
Compaq Refurbished 15808-RT-10G Router (15808RT10GRF),http://www.codemicro.com/store/product/Cisco-15808RT10GRF-Refurbished.php,Compaq Refurbished 15808-RT-10G Router (15808RT10GRF)
Compaq Refurbished Ap53 Router (AP53DCPWRRF),http://www.dealtime.com/Compaq-AP53-DC-PWR-REFURBISHED-NO-RETURNS-SEE/info?tab=specs,Compaq Refurbished Ap53 Router (AP53DCPWRRF)
HP Compaq Connection Point CP-2E Router (283010-001),http://www.tradeloop.com/computer_parts/detail/?k=283010-001,HP Compaq Connection Point CP-2E Router (283010-001)
