Product  SKU,Product Title,Colour,Website,Bullet Point 1,Bullet Point 2,Bullet Point 3
96382,Crafted Waffle Cardigan,Purple,http://www.republic.co.uk/,,,
66334,Miso Tweed Cardigan,Burgundy,http://www.republic.co.uk/,,,
53583,Crafted Threat Crew Sweater,Dark grey,http://www.republic.co.uk/,,,
81500,Crafted Zip Skinny Jeans,Blue,http://www.republic.co.uk/,,,
81515,Soul Cal Deluxe Double Button Skinny Jeans,Light blue,http://www.republic.co.uk/,,,
72497,Crafted Narrow Chinos,Light grey,http://www.republic.co.uk/,,,
53532,Crafted Punk Sweater,Light grey,http://www.republic.co.uk/,,,
76130,Crafted Cheetah Graphic T-Shirt,Black,http://www.republic.co.uk/,,,
81510,Crafted Ripped Boyfriend Jeans,Blue,http://www.republic.co.uk/,,,
68969,Miso Tapestry Purse,Multi,http://www.republic.co.uk/,,,
95720,Crafted Long Sleeved Check Shirt,Light grey,http://www.republic.co.uk/,,,
95608,Crafted Long Sleeved Checked Shirt,Light grey,http://www.republic.co.uk/,,,
87291,Vila Khaki Army Jacket,Khaki,http://www.republic.co.uk/,,,
53196,Levis Crew Sweater,Blue,http://www.republic.co.uk/,,,
87290,Vila Camo Army Jacket,Khaki,http://www.republic.co.uk/,,,
53534,Crafted Rottweiler Sweater,Dark grey,http://www.republic.co.uk/,,,
76168,Crafted Bandana Graphic T-Shirt,Dark grey,http://www.republic.co.uk/,,,
51234,Crafted Skinny Jeans,Black,http://www.republic.co.uk/,,,
53582,Crafted Broken Crew Sweater,Purple,http://www.republic.co.uk/,,,
65135,Vero Moda Racoon Blouse,Cream,http://www.republic.co.uk/,,,
53427,Beck & Hersey Robin Crew Sweater,Dark red,http://www.republic.co.uk/,,,
96381,Crafted Waffle Cardigan,Khaki,http://www.republic.co.uk/,,,
96379,Crafted Waffle Crew Jumper,Khaki,http://www.republic.co.uk/,,,
62416,Miso Satin Body Dress,Gold coloured,http://www.republic.co.uk/,,,
65319,Glamorous Lace Shirt,Black,http://www.republic.co.uk/,,,
59807,Selected Dublin Smart Toe Cap Boots,Brown,http://www.republic.co.uk/,,,
25074,Vero Moda Calista 3/4 Sleeve Dress,Dark blue,http://www.republic.co.uk/,,,
51363,Jack & Jones Original Ben Jeans,Grey,http://www.republic.co.uk/,,,
77361,Crafted Vintage Parka,Khaki,http://www.republic.co.uk/,,,
95804,Crafted Long Sleeved Sniper Shirt,Khaki,http://www.republic.co.uk/,,,
88317,Crafted Skull Iphone Case,Black,http://www.republic.co.uk/,,,
65132,Vera Moda Manchester Top,Dark blue,http://www.republic.co.uk/,,,
59805,Selected Chester Suede Derby,Brown,http://www.republic.co.uk/,,,
77285,Merc Harrington Jacket,Black,http://www.republic.co.uk/,,,
59806,Selected Chester Suede Derby,Dark blue,http://www.republic.co.uk/,,,
25392,Thirty7 Sequin Prom Dress,Gold,http://www.republic.co.uk/,,,
89024,Cheeky Budha Peace Belt,Black,http://www.republic.co.uk/,,,
59468,Frank Wright Bridge Desert Boot,Grey,http://www.republic.co.uk/,,,
59747,Ontisuka Tiger Leather Fabre Hi-Top,Dark blue,http://www.republic.co.uk/,,,
78164,47 Brand Tampa Bay Cap,Black,http://www.republic.co.uk/,,,
59469,Frank Wright Bridge Desert Boot,Brown,http://www.republic.co.uk/,,,
88276,Skinny Dip Diamante Skull Earphones,Silver coloured,http://www.republic.co.uk/,,,
78273,Mi-Pac Textured Bag,Red,http://www.republic.co.uk/,,,
88049,Mischa Barton Dunaway Bag,Brown,http://www.republic.co.uk/,,,
68653,Soul Cal Deluxe Holdall Apache Bag,Purple,http://www.republic.co.uk/,,,
53151,Fabric Fleck Hoody,Blue,http://www.republic.co.uk/,,,
53110,Fabric Panel Crew Neck Sweater,Blue,http://www.republic.co.uk/,,,
53107,Fabric Chambray Pocket Sweater,Light grey,http://www.republic.co.uk/,,,
95685,Fabric Fleck Long Sleeved Shirt,Light blue,http://www.republic.co.uk/,,,
75859,Soul Cal Deluxe Star Onesie,Burgundy,http://www.republic.co.uk/,,,
27438,Scoul Cal Deluxe Dream Brace T-Shirt,Pink,http://www.republic.co.uk/,,,
27457,Crafted Cropped Mick Jagger T-Shirt,White,http://www.republic.co.uk/,,,
87192,Crafted Blazer,Black,http://www.republic.co.uk/,,,
62365,Miso Ditsy Lace Sleeveless Dress,Black,http://www.republic.co.uk/,,,
68926,Crafted Studded Gloves,Black,http://www.republic.co.uk/,,,
68924,Miso T Bar Leather Gloves,Pink,http://www.republic.co.uk/,,,
69782,London Rebel Basic Ballerina Pumps,Black,http://www.republic.co.uk/,,,
