Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39239,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39239 - # Ways Steady HVAC Temperatures Save Money,"500 words. Write about 3 to 6 ways keeping the temperature stable throughout the year keeps the house comfortable and saves money. There&#039;s a common perception that temperatures in winter need to match outdoor temperatures in summer, and vice-versa in summer. Maintaining a steady temperature with little fluctuation keeps the house comfortable. Appeal to homeowners who work or do their hobbies at home and want to make sure they stay warm or cool while not spending a lot of money. Consider anchoring the URL to a sentence that discusses using energy-saving heating and cooling systems to aid in saving money on bills. Please link to this blog post as your target URL, not the client’s homepage: http://allseasonsservicenetwork.com/blog/3-ways-save-cooling-costs ",http://www.moneysavingexpert.com/utilities/energy-saving-myths,http://www.fplblog.com/energy-efficiency/turning-the-ac-up-or-leaving-it-at-the-same-temperature-which-is-better/,http://www.telegraph.co.uk/finance/personalfinance/energy-bills/11171016/Are-you-using-your-thermostat-wrongly-Five-home-heating-errors-pushing-up-energy-bills.html,scrapality.com,natural,allseasonsservicenetwork.com,,,
39253,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39253 - # Ways to Save Money on Air Conditioner Maintenance,"500 words. List 3-6 ways for consumers to keep their AC maintenance costs low, such as by changing their air filters regularly, optimizing thermostat controls for less wear and tear, and reporting issues to an HVAC contractor or technician immediately for diagnosis. Work in the McDevitt Air anchor text and link by suggesting the company&#039;s service agreements. If homeowners schedule maintenance in advance, they can save money on both the maintenance visits and on repair issues that the technician discovers. Your target audience is looking to save money. Please link to this blog post as your target URL, not the client’s homepage: http://mcdevittair.com/blog/whats-involved-fall-home-maintenance",https://www.hscwarranty.com/blog/cut-air-conditioner-wear-tear-summer/,https://www.angieslist.com/articles/hvac-maintenance-plan-vs-home-warranty.htm,"http://www.thisoldhouse.com/toh/photos/0,,20209975_20477765,00.html",scrapality.com,natural,http://mcdevittair.com/,,,
39254,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39254 - # Benefits of a Geothermal HVAC System for Your Home,"500 words. Offer 3-6 benefits of choosing a geothermal HVAC system for readers&#039; homes, such as lower utility bills and greater longevity. Tie it to the publisher&#039;s website by mentioning its quiet operation, which contributes to a happy and comfortable home. You might also touch on the environmental benefits, which could appeal to this readership. Lower emissions and cleaner energy will reduce the homeowner&#039;s carbon footprint. Your target audience is interested in information that will help make their home a better space. Please link to this blog post as your target URL, not the client’s homepage: http://mcdevittair.com/blog/5-reasons-to-switch-to-geothermal-products",http://www.geothermalgenius.org/benefits-of-geothermal/,http://www.envirotechgeothermal.com/geothermal_advantages.html,http://www.green-energy-efficient-homes.com/advantage-disadvantage-geothermal.html,mixandchic.com,natural,http://mcdevittair.com/,,,
39255,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39255 - How to Design Your Home Around Your HVAC Components,"500 words. Give 3-6 pieces of design advice for homeowners who want to disguise or reduce the impact of various HVAC components, such as vents, registers, thermostats, and outdoor units. Warn readers that they shouldn&#039;t cover up these items because they might reduce their HVAC system&#039;s efficiency and even cause a safety hazard. Mention at least one landscaping tip for the home&#039;s exterior, such as planting hedges around an HVAC unit to shield it from view. Suggest making a gallery wall with paintings and photographs around a thermostat or positioning furniture to maximize air flow without drawing attention to floor vents. Your target audience is interested in home decor and style. Link to your target URL by mentioning that while HVAC components might not be the most stylish part of your home, it’s still important to schedule regular maintenance to avoid costly repairs or replacements. Please link to this blog post as your target URL, not the client’s homepage: http://www.calldougs.com/blog/invest-in-maintenance-now-and-avoid-huge-expenses-later",http://www.goodhousekeeping.com/home/decorating-ideas/tips/g1192/hide-ugly-home-items/,https://www.pinterest.com/whiterodgers/thermostat-inspirations/,http://www.popsugar.com/home/How-Hide-Wall-Imperfections-37160763#photo-37160763,mixandchic.com,natural,http://www.calldougs.com/,,,
39256,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39256 - # DIY Projects for Lowering Your Utility Bills,"500 words. Offer 3-6 suggestions for DIY projects that will help homeowners save money on their utility bills. You might mention sealing attic and basement hatches, installing storm windows, creating an attic stairs cover, and finding and sealing air leaks throughout the home. Work in the client link by suggesting regular HVAC maintenance, whether for repairs or inspections. You could also suggest upgrading to a better unit for maximum energy savings. Keep it relevant to the publisher&#039;s site and your target audience by taking a breezy, conversational approach and sticking to DIY-related projects. Please link to this blog post as your target URL, not the client’s homepage: http://www.calldougs.com/blog/regular-hvac-maintenance-why-its-a-must-not-a-should",http://energy.gov/energysaver/do-it-yourself-energy-savings-projects,http://www.motherearthnews.com/renewable-energy/projects-for-energy-savings-zmaz08fmzmcc.aspx,http://www.diyncrafts.com/2320/home/energy-saving-tips-35-ways-save-on-your-utility-bill,stylevanity.com,natural,http://www.calldougs.com/,,,
39259,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39259 - # Ways to Fund Your Summer Fun,"500 words. List 3-6 ways to cut costs that are specific to the summer, so you can afford to take a nice vacation. The target website is a mother-oriented, Midwestern blog about raising three kids, so you should try to make the content specifically relevant to mothers and families. You could talk about cutting back on restaurant expenses by attending community events, going to library movie nights instead of theatrical movies, and so on. Include an item about getting your HVAC serviced to reduce electric bills so you can link to the client. Your target audience is looking to save money. Please link to this blog post as your target URL, not the client’s homepage: http://byrdheatingandair.com/blog/5-ways-your-hvac-company-can-help-you-save-money",http://www.fredericksburgparent.net/read/seasonal-fun/1964-50-simple-ways-to-save-money-this-summer-without-sacrificing-family-fun,http://www.realsimple.com/work-life/money/saving/summer-savings-0,http://money.usnews.com/money/personal-finance/slideshows/10-summer-savings-tips,sixfeetunderblog.com,natural,http://byrdheatingandair.com/,,,
39260,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39260 - Saving the Planet All Year Long: Teaching Kids Seasonal Conservation,"500 words. Produce a list of 3-6 ways you can use the changing requirements of life during all four seasons to show kids how conservation can change over time. For example, you can write about raising your own food during the spring, cutting down on heating in the winter, and reducing AC usage in the summer. The blog is for parents who are interested in &quot;crunchy&quot; parenting, aka ecologically-aware child rearing. Work in the client link in the item about reducing AC electrical usage with maintenance or buying a new, eco-friendly system. Please link to this blog post as your target URL, not the client’s homepage: http://byrdheatingandair.com/blog/eco-friendly-heating-and-cooling-in-garden-city-ga",http://www.greenlivingonline.com/article/eco-tips-cleaner-greener-holiday-season,http://www.isustainableearth.com/sustainable-living/sustainable-living-tips-to-keep-your-summer-green,http://www.bhg.com/gardening/vegetable/vegetables/planning-your-first-vegetable-garden/,littlecrunchy.com,natural,http://byrdheatingandair.com/,,,
39262,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39262 - Budget Homes: # Secrets to Saving Money Around the House,"500 words. Make a list of 3-6 ways that you can save money around the house by making small changes to your lifestyle or simply by thinking ahead. The website this will be published on is a discounting site with a parental/mommy focus, so try to talk about the advantages of these techniques for families. Possible topics include reducing household food expenses by buying in bulk, learning to perform simple home maintenance (like changing a filter) on your own, and reducing climate control bills by sealing windows. The client link, to an HVAC website, can be worked in to items about home maintenance. Please link to this blog post as your target URL, not the client’s homepage: http://boundshvac.com/blogs/4-ways-air-filters-help-indoor-air-quality",http://www.thesimpledollar.com/trimming-the-fat-forty-ways-to-reduce-your-monthly-required-spending/,http://www.lifehack.org/articles/money/30-ways-cut-your-monthly-expenses.html,http://www.beingfrugal.net/ways-to-save-money/,dazzlingdailydeals.com,natural,http://boundshvac.com/,,,
39264,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39264 - Tips for Making Your Home Homey,"500 words. Write a list of 3-6 ways that you can keep your house in good shape over the years. Talk about things like unique lawn decorations, painting rooms, etc. The target site is a blog by a California woman going through changes in her midlife, so the target audience are families and mothers, especially with children getting old enough to leave the home. Work in the client link by talking about home repairs, and mentioning that falling behind with HVAC inspection will cost you more in the long term by causing damage. Please link to this blog post as your target URL, not the client’s homepage: http://bass-air.com/blog/critical-duct-system-inspections-new-north-carolina-regulations",http://www.bhg.com/decorating/home-accessories/10-easy-ways-to-personalize-your-home/,http://findinghomefarms.com/how-to-decorate-5-ways-personalize-your-home/,http://www.apartmenttherapy.com/free-ways-to-make-your-house-a-home-155499,lifewithlorelai.com,natural,http://bass-air.com/,,,
39266,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39266 - # Signs That Say it's Time to Replace an HVAC Unit,"500 words. Write about 3 to 6 signs that a heater or AC unit is about to die and requires replacement. Sometimes it&#039;s possible to repair an HVAC unit, but not always. There are unmistakable signs that the unit is about to fail, but people tend to ignore them because of cost. Appeal to homeowners who might be looking to save a few dollars by putting off replacement. Consider anchoring the URL to a sentence that discusses the value in calling out an HVAC repairman to investigate the problem and what it&#039;s going to take to fix it. Please link to this blog post as your target URL, not the client’s homepage: http://davisac.com/article/choosing-a-new-hvac-system-heres-a-guide-that-can-help",http://www.airflowdesigns.com/signs-time-replace-hvac-system/,http://unitedheating.com/is-it-time-to-replace-your-hvac-system-look-for-these-signs/,http://americanairandheat.net/air-conditioning/how-do-you-know-when-ac-replacement-is-needed/,bullocksbuzz.com,natural,davisac.com,,,
39267,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39267 - # Ways to Keep the Air Inside Your Home Safe,"500 words. Write 3 to 6 different ways to keep the air inside your home safe, healthy and clean. It&#039;s a known fact that maintaining the quality of air in the home is important to everyone&#039;s health. Ducts collecting dust that then gets blown out into the house or a furnace with a minor C02 leak are just a couple of the problems that cause the air in the house to become less than ideal. Appeal to homeowners of all ages. Consider linking the URL to a sentence that discusses having an HVAC expert come out to clean and inspect the HVAC systems. Please link to this blog post as your target URL, not the client’s homepage: http://www.senicaair.com/blog/4-diy-tricks-for-healthy-indoor-air-quality",https://www.healthstatus.com/health_blog/copd/ways-healthy-air-winter/,"http://www.thisoldhouse.com/toh/photos/0,,20452423,00.html",https://www.maidbrigade.com/blog/the-best-ways-to-keep-indoor-air-healthy-in-your-home/ ,ericastartwalking.com,natural,senicaair.com,,,
39270,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39270 - # Home Money Saving Tips for This Season,"500 words. Write 3 to 6 ways a homeowner can save money on their home costs this summer. Things like utility bills which are a constant issue for homeowners, can skyrocket during months of high demand, like the summer. There are ways to lower the costs including lowering the thermostat a degree or sealing windows and doors. Appeal to homeowners looking for ways to keep their costs down. Consider anchoring the client URL in a sentence that discusses getting HVAC units cleaned on a regular basis by a qualified technician. Please link to this blog post as your target URL, not the client’s homepage: http://www.bryansunited.com/blog/hvac-maintenance-plan-really-save-money",http://www.bankrate.com/finance/smart-spending/10-ways-to-save-money-on-your-utility-bill-1.aspx,http://www.quickanddirtytips.com/money-finance/saving-spending/how-to-save-money-on-your-electricity-bill,"http://www.thisoldhouse.com/toh/photos/0,,20169070,00.html",saviorcents.com,natural,bryansunited.com,,,
39271,Mediagistic (Mediagistic),CON255006 HVAC March 16,Damarley,Budget,39271 - # Reasons to Get the Right-Sized Air Conditioning Unit for Your Home,"500 words. Write 3 to 6 reasons why size is important in an AC unit. There is such a thing as &quot;too much&quot; when it comes to an AC unit. It means excess capacity that never gets used and money wasted on the purchase. On the flip side, too small of a unit and bills skyrocket due to constant power demand. Consider anchoring the client URL to a sentence that discusses working with a trained HVAC technician to get the unit that is perfect for the home. Appeal to homeowners who are looking to replace an existing unit. Please link to this blog post as your target URL, not the client’s homepage: http://dentairconditioning.com/blog/hvac-installation-tips-jackson-homeowners-making-right-choices",http://homeguides.sfgate.com/size-home-would-use-25ton-c-unit-82207.html,http://www.lowes.com/projects/utility-and-storage/air-conditioner-buying-guide/article,http://ths.gardenweb.com/discussions/2424680/to-figure-out-the-right-size-a-c-unittry-this-method,homefamilyheart.com,natural,dentairconditioning.com,,,
39279,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39279 - # Ways a Smart Thermostat Keeps Bills Down and the Home Comfortable,"500 words. Write about 3 to 6 ways a smart thermostat keeps bills down while maintaining comfortable temps in the home. Smart thermostats use wi-fi to connect from a computer or smartphone, but also work at a passive level. They have sensors that detect when the home is too cold or warm and adjust the HVAC accordingly. This action saves money while keeping a home comfortable. Appeal to homeowners who are looking to save money on their heating and cooling bills. Consider anchoring the URL to a sentence that talks about getting the smart thermostat installed by a trained HVAC technician. Please link to this blog post as your target URL, not the client’s homepage: http://www.joplins.net/articles/4-reasons-you-should-upgrade-to-a-programmable-thermostat",http://time.com/4075356/nest-thermostat-review-hands-on-ecobee3/,http://bestreviews.com/best-smart-thermostats,http://www.digitaltrends.com/home/best-smart-thermostats/,ohmyheartsiegirl.com,natural,joplins.net,,,
