Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41073,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41073 - ,,,,,wakeup-world.com,galaxy s7 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41074,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41074 - ,,,,,nzmuse.com,galaxy s7 branded variation (client name + keywords),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41075,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41075 - ,,,,,letsrenovate.com,galaxy s7 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41076,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41076 - ,,,,,menprovement.com,"galaxy s7 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41077,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41077 - ,,,,,webmasterdock.com,galaxy s7 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41078,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41078 - ,,,,,androidb.com,"galaxy s7 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41079,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41079 - ,,,,,droidviews.com,samsung galaxy s7 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41080,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41080 - ,,,,,techiezlounge.com,"samsung galaxy s7 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41081,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41081 - ,,,,,moneyspruce.com,samsung galaxy s7 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41082,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41082 - ,,,,,fearlessmen.com,"samsung galaxy s7 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41083,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41083 - ,,,,,krantcents.com,samsung galaxy s7 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41084,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41084 - ,,,,,sooverthis.com,"samsung galaxy s7 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
41086,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41086 - ,,,,,decryptedtech.com,"galaxy s7 edge unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
41123,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41123 - ,,,,,herviewfromhome.com,iPhone 6s branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6s.html,,,
41931,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41931 - ,,,,,webapprater.com,ipad pro long-tail variation (exact match keyword in a phrase match format),https://explore.t-mobile.com/ipad-pro,,,
41932,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41932 - ,,,,,girlsjustwannahavefunds.com,iphone 6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6.html,,,
41934,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41934 - ,,,,,livingbetter50.com,samsung galaxy s6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,
41935,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41935 - ,,,,,inspiredmagz.com,"samsung galaxy s6 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,
41936,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41936 - ,,,,,infinigeek.com,iPhone 5S branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-5s.html,,,
41937,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41937 - ,,,,,damngeeky.com,iPhone 5S long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/apple-iphone-5s.html,,,
41938,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41938 - ,,,,,enemyofdebt.com,iPhone 6 Plus branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6-plus.html,,,
41939,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41939 - ,,,,,cafemom.com,"iPhone 6 Plus unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/apple-iphone-6-plus.html,,,
41940,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41940 - ,,,,,techiesense.com,iPhone 6s Plus branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,
41941,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41941 - ,,,,,92pixels.com,iPhone 6s Plus long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,
41942,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41942 - ,,,,,travelexperta.com,lg v10 branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-v10.html,,,
41943,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41943 - ,,,,,djdesignerlab.com,"lg v10 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/lg-v10.html,,,
41944,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41944 - ,,,,,captees.com,galaxy s6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,
41948,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41948 - ,,,,,stylemotivation.com,samsung galaxy s6 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6-edge.html,,,
41950,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41950 - ,,,,,businessfirstfamily.com,ipad mini 4 branded term (brand/client name),http://www.t-mobile.com/internet-devices/apple-ipad-mini-4.html,,,
41951,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41951 - ,,,,,mydecorative.com,"samsung gear unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,
41952,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41952 - ,,,,,ampercent.com,Samsung galaxy note 5 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-note5.html,,,
41953,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41953 - ,,,,,goworldtravel.com,htc one m9 branded variation (client name + keywords),http://www.t-mobile.com/cell-phones/htc-one-m9.html,,,
