Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41090,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41090 - ,,,,,moneywatch101.com,galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
41091,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41091 - ,,,,,melisasource.com,"samsung galaxy s7 edge unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
41092,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41092 - ,,,,,mappingmegan.com,samsung galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
41093,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41093 - ,,,,,maiden-voyage-travel.com,"samsung galaxy s7 edge unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
41107,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41107 - ,,,,,thehightechsociety.com,ipad pro branded term (brand/client name),https://explore.t-mobile.com/ipad-pro,,,
41108,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41108 - ,,,,,thegreendivas.com,ipad pro branded term (brand/client name),https://explore.t-mobile.com/ipad-pro,,,
41109,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41109 - ,,,,,thebrokebackpacker.com,iphone 6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6.html,,,
41110,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41110 - ,,,,,tevami.com,iphone 6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6.html,,,
41112,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41112 - ,,,,,tapscape.com,samsung galaxy s6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,
41113,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41113 - ,,,,,sunnysimplelife.com,iPhone 5S branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-5s.html,,,
41114,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41114 - ,,,,,subzerotech.com,iPhone 5S branded variation (client name + keywords),http://www.t-mobile.com/cell-phones/apple-iphone-5s.html,,,
41115,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41115 - ,,,,,lazymanandmoney.com,iPhone 6 Plus branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6-plus.html,,,
41116,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41116 - ,,,,,russellstreetreport.com,iPhone 6 Plus long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/apple-iphone-6-plus.html,,,
41117,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41117 - ,,,,,pocketfullofapps.com,iphone 6s plus branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,
41118,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41118 - ,,,,,pdrizmir.org,iphone 6s plus branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,
41119,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41119 - ,,,,,noordinaryhomestead.com,lg v10 long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/lg-v10.html,,,
41120,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41120 - ,,,,,newtbiz.com,lg v10 branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-v10.html,,,
41126,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41126 - ,,,,,truenomads.com,Lg g4 long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/lg-g4.html,,,
41127,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41127 - ,,,,,tripoutlook.com,samsung galaxy s6 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6-edge.html,,,
41129,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41129 - ,,,,,traveltoodle.com,ipad mini 4 branded term (brand/client name),http://www.t-mobile.com/internet-devices/apple-ipad-mini-4.html,,,
41130,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41130 - ,,,,,travelfreak.net,samsung gear branded term (brand/client name),http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,
