Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
37562,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37562 - # Reasons You Should Consider Insuring Your Electronics,"500 words: Discuss 3-6 different reasons that someone might benefit from getting insurance for their electronics. Discuss how laptops, flat screen TVs and game consoles can break or go bad before you&#039;re ready and able to upgrade. You can use examples like a surge protector failing and having an electrical storm zap your computer, etc. Discuss how having insurance could help you save money and protect your valuable pieces of technology in the long run. You should also suggest shopping around for the best deals on electronic insurance and mention how important it is to read the reviews on an insurance company before choosing to start a policy with them. You can link to the client URL when discussing insurance company reviews, because the URL links to a review page. Your audience is people who own electronics that they want to protect.",http://www.howtogeek.com/230761/how-to-insure-your-personal-electronics-against-damage-and-theft/,https://www.moneysupermarket.com/home-insurance/gadget-insurance-guide/,http://www.learnvest.com/2013/02/want-to-insure-your-iphone-get-electronics-insurance/,techspot.com,Assurant Review,http://www.assurantsolutions.com/about-us/abo-assurant-reviews-t3.html,,,
37564,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37564 - # Ways to Make Your Rental Feel Like Home,"500 Words. In 3-6 subheaders, list different ways that you could make a rental feel like home. Whether it&#039;s an apartment or a house, there are still a lot of things that you can do to a rental to make it feel like its yours. The site this article will be placed on talks a lot about DIY and home decor. So talk about different DIY projects or decorating options that can make it feel personalized. Things like painting statement walls, putting up removable wallpaper, or hanging personal photographs could be good examples. You can also talk about how even though you don&#039;t own the home, it&#039;s still important to keep it and your personal belongings safe. Suggest shopping for a renter&#039;s insurance plan to keep you protected from things like flooding, fire, etc. You can place the client URL in the section where you talk about renter&#039;s insurance. The URL links to a review page, so discuss the importance of comparing the reviews on different insurance providers before making a decision. Your target audience is people who rent vs. own their homes or apartments. ",http://www.improvenet.com/a/11-decorating-ideas-to-make-your-rental-feel-like-home,http://singlemomsincome.com/7-inexpensive-ways-make-rental-feel-like-home/,http://www.realestate.com.au/blog/10-tips-for-making-your-rental-feel-like-home/,simplestylings.com,Assurant Review,http://www.assurantsolutions.com/about-us/abo-assurant-reviews-t3.html,,,
37569,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37569 - # Ways To Start Creating Financial Stability,"500 Words. List 3-6 different things that someone could do to start creating financial stability. Talk about things like creating a budget, tackling debt and insuring valuable items, like jewelry or electronics. You can place the client URL in the section where you talk about insuring valuables. You can explain how insuring your expensive items can help you save money in the future, in the event that these things were broken, lost or stolen. Make sure to mention the importance of picking the right insurance company by comparing rates to get the best deal, and making sure to read reviews before signing up for a policy. Your audience is people who are looking to create financial stability. ",http://zenhabits.net/10-habits-to-develop-for-financial/,http://www.investopedia.com/articles/younginvestors/08/generation-y.asp,http://blog.conqueryourdebt.org/2013/08/08/5-habits-for-financial-stability/,moneyqanda.com,Assurant Review,http://www.assurantsolutions.com/about-us/abo-assurant-reviews-t3.html,,,
37576,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37576 - Little Traps: # Nagging Expenses and How to Avoid Them,"500 words: List 3-6 small to middling expenses that can be avoided with some proper planning. You can discuss how expensive it can be to buy a new phone, and how to avoid extra costs by purchasing insurance for it. When discussing insurance be sure to mention looking up insurance reviews and use Assurant as an example. Some other suggestions would include performing regular car and home maintenance and using automated bill pay to avoid late fees if you have problems with making timely payments. Your audience is people trying to save money.",http://www.aarp.org/money/budgeting-saving/info-06-2012/12-ways-to-save-on-car-expenses.html,http://www.homeadvisor.com/r/how-to-save-money-with-home-maintenance/,http://www.thesimpledollar.com/trimming-the-fat-forty-ways-to-reduce-your-monthly-required-spending/,moneysavingmom.com,Assurant Review,https://mywirelessclaim.com/t-mobile/review4,,,
37580,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37580 - The Ultimate Guide to Keeping Your Smartphone Looking Brand New,"500 words: Make a list of three to six ways that smartphone owners can keep their phones in perfect condition. When you first take your smartphone of out its box, you love how it looks pristine with no smudges, dings, scratches or cracks. But eventually, we all end up dropping, scraping or cracking our phones. List ways you can make sure your phone stays looking new, the entire time you have it. Things like screen protectors, study waterproof cases, keeping it indoors during outside activities, etc. You can also discuss how if you do happen accidentally shatter your screen, etc., you can replace it with smartphone insurance. You can place the client link in the section where you talk about smartphone insurance and how looking at reviews is helpful in choosing an insurance. Your target audience is smartphone owners.",http://trendblog.net/how-to-protect-your-phone-screen-from-breaking/,https://www.esurance.com/info/cell-phone/7-ways-to-protect-your-new-cell-phone,http://www.makeuseof.com/tag/how-to-protect-from-smartphone-scratches/,tapscape.com,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37581,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37581 - How to Decide If You Need Smartphone Insurance,"500 words. Make a list of three to six ways that people can determine whether or not they should purchase insurance for their smartphone. Discuss the pros and cons of having vs. not having your phone insured. You should mention that if someone does decide that they need to insure their smartphone, they should make sure to shop around for the best deal and compare different insurance companies. You can place the client URL in the section where you discuss comparing insurance companies. The URL links to a review page, so be sure to note that it is important to read reviews for different companies, before deciding to purchase a policy. Your target audience is smartphone owners. ",http://www.kiplinger.com/article/spending/T057-C011-S001-do-you-need-insurance-for-your-smart-phone.html,https://www.moneyadviceservice.org.uk/en/articles/do-you-need-mobile-phone-insurance,http://www.imore.com/iphone-6s-applecare-insurance,ohgizmo.com,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37582,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37582 - # Reasons You Need Renter's Insurance,"500 words. List three to six reasons that renters should get insurance policies to protect their property. You may want to mention that the insurance policy that covers the apartment or house does not protect items inside the home, so renters will need their own policies. Other reasons include its affordability and liability coverage. You can mention the client&#039;s link and keyword by explaining why it is important to read the reviews of different companies that offer renter&#039;s insurance, before purchasing a policy. Your target audience is people who want to protect their homes and belongings.",http://www.investopedia.com/articles/personal-finance/082714/6-good-reasons-get-renters-insurance.asp,http://andthenwesaved.com/renters-insurance/,www.lifehack.org/299597/top-10-reasons-why-you-should-get-renters-insurance,fooyoh.com,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37583,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37583 - How To Know You're Picking the Right Life Insurance Policy,"500 Words. In 3-6 subheaders, discuss tips for deciding if your life insurance policy is right for you. Talk about things like determining your budget, reading reviews about different companies online, or figuring out what and how much you want protected or covered. You can place your target URL in the section where you suggest reading the reviews of insurance companies, because the URL links to a Glassdoor review of the client. Your target audience is people shopping for life insurance, or looking to switch life insurance companies.",http://money.howstuffworks.com/personal-finance/financial-planning/life-insurance5.htm,http://www.bankrate.com/finance/insurance/6-myths-buying-life-insurance-1.aspx,http://www.dfr.vermont.gov/insurance/insurance-consumer/consumers-guide-buying-individual-life-insurance,rocketnews.com,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37584,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37584 - # Mistakes to Avoid When Shopping for Smartphone Insurance,"500 Words. List 3-6 different mistakes to avoid when shopping for smartphone insurance. Things like not comparing rates, choosing the wrong amount of coverage, or not reading reviews from customers about different companies. Anything that might cause you to choose the wrong insurance plan or company. You can place the client URL in the section where you discuss reading reviews for different insurance companies, to make sure it is a good fit for you. Your audience is people who are shopping for smartphone insurance.",https://www.whistleout.com/CellPhones/Guides/cell-phone-warranties-and-insurance,"http://www.tomsguide.com/us/cell-phone-insurance-guide,news-19710.html",http://www.techlicious.com/tip/choosing-the-best-insurance-for-your-phone/,lerablog.org,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37586,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37586 - Running an Online Business? # Reasons Reviews Matter,"500 words: In 3-6 subheadings, discuss why online reviews are so important for online businesses. Talk about online reviews from a traffic-driving perspective, a customer service perspective, and how many people take reviews into account when they make purchasing decisions. The audience is people who are running blogs and small online businesses from home. The anchor text will fit in any section, possibly as an example of how to display good reviews on a website.",https://www.score.org/blog/2015/rieva-lesonsky/why-online-reviews-matter,http://www.forbes.com/sites/cherylsnappconner/2013/08/23/the-marketers-guide-to-customer-reviews-and-why-you-should-care/#34f0c22b5eb0,https://www.addthis.com/blog/2014/11/25/do-online-reviews-matter-yes-they-do/#.VsY5ZVgrLWI,speckygeek.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
