Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
,,,,,midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Des-Moines-IA,https://www.hipmunk.com/Hotels-in-Champaign-IL,https://www.hipmunk.com/Hotels-in-Indianapolis-IN,https://www.hipmunk.com/Hotels-in-Traverse-City-MI,https://www.hipmunk.com/Hotels-in-Minneapolis-MN,,,,
,,,,,midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Bloomington-MN,https://www.hipmunk.com/Hotels-in-Springfield-MO,https://www.hipmunk.com/Hotels-in-Kansas-City-MO,https://www.hipmunk.com/Hotels-in-Billings-MT,https://www.hipmunk.com/Hotels-in-Akron-OH,,,,
,,,,,midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Billings-MT,https://www.hipmunk.com/Hotels-in-Des-Moines-IA,https://www.hipmunk.com/Hotels-in-Indianapolis-IN,https://www.hipmunk.com/Hotels-in-Minneapolis-MN,https://www.hipmunk.com/Hotels-in-Springfield-MO,,,,
,,,,,midwest,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Champaign-IL,https://www.hipmunk.com/Hotels-in-Traverse-City-MI,https://www.hipmunk.com/Hotels-in-Bloomington-MN,https://www.hipmunk.com/Hotels-in-Kansas-City-MO,https://www.hipmunk.com/Hotels-in-Madison-WI,,,,
,,,,,northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Hartford-CT,https://www.hipmunk.com/Hotels-in-Woburn-MA,https://www.hipmunk.com/Hotels-in-New-Haven-CT,https://www.hipmunk.com/Hotels-in-Bangor-ME,https://www.hipmunk.com/Hotels-in-Newark-NJ,,,,
,,,,,northeast,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-New-Haven-CT,https://www.hipmunk.com/Hotels-in-Woburn-MA,https://www.hipmunk.com/Hotels-in-Bangor-ME,https://www.hipmunk.com/Hotels-in-Newark-NJ,https://www.hipmunk.com/Hotels-in-Providence-RI,,,,
,,,,,south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Dover-DE,https://www.hipmunk.com/Hotels-in-Jacksonville-FL,https://www.hipmunk.com/Hotels-in-Lexington-KY,https://www.hipmunk.com/Hotels-in-Baltimore-MD,https://www.hipmunk.com/Hotels-in-Asheville-NC,,,,
,,,,,deep south,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Columbia-SC,https://www.hipmunk.com/Hotels-in-Pigeon-Forge-TN,https://www.hipmunk.com/Hotels-in-Norfolk-VA,https://www.hipmunk.com/Hotels-in-Laredo-TX,https://www.hipmunk.com/Hotels-in-Sterling-VA,,,,
,,,,,west or pacific,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Riverside-CA,https://www.hipmunk.com/Hotels-in-Napa-CA,https://www.hipmunk.com/Hotels-in-West-Hollywood-CA,https://www.hipmunk.com/Hotels-in-Orange-CA,https://www.hipmunk.com/Hotels-in-Pasadena-CA,,,,
,,,,,pacific NW,"These 500-word Hipmunk Hotel articles should include all 5 destination links in 5 separate grafs about each destination. Hipmunk would like if we discussed hotels in each section; HOWEVER, only one or two of those mentions need refer back to Hipmunk's site. Also, I've titled these only with the name of the region you'll be writing about. Please use the style guide to come up with a unique title. Otherwise, this is standard Hipmunk blog work: let me know if you have any questions!",https://www.hipmunk.com/Hotels-in-Salem-OR,https://www.hipmunk.com/Hotels-in-Sea-Tac-WA,https://www.hipmunk.com/Hotels-in-Spokane-WA,https://www.hipmunk.com/Hotels-in-Kent-WA,n/a,,,,
