Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39561,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39561 - ,,,,,yourlifeafter25.com,Gifts for men,http://www.liveinstyle.com/gifts-for-men,,,
39562,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39562 - ,,,,,allwomenstalk.com,Gifts for him,http://www.liveinstyle.com/gifts-for-men,,,
39563,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39563 - ,,,,,blogher.com,Gifts for husband,http://www.liveinstyle.com/gifts-for-men,,,
39564,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39564 - ,,,,,instablogs.com,Gifts for boyfriend,http://www.liveinstyle.com/gifts-for-men,,,
39565,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39565 - ,,,,,community.epicurious.com,Scotch as a gift,http://www.liveinstyle.com/gifts-for-men/scotch-as-a-gift,,,
39566,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39566 - ,,,,,thefutureofthings.com,Scotch gifting,http://www.liveinstyle.com/gifts-for-men/scotch-as-a-gift,,,
39567,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39567 - ,,,,,chicdarling.com,scotch gifts for men,http://www.liveinstyle.com/gifts-for-men/scotch-as-a-gift,,,
39568,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39568 - ,,,,,lifeofdad.com,Stand up comedy,http://www.liveinstyle.com/stand-up-comedy,,,
39569,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39569 - ,,,,,justluxe.com,Standup comedy,http://www.liveinstyle.com/stand-up-comedy,,,
39570,7edge (7Edge),CON409001 Live in Style March 16,lcolarado1,Budget,39570 - ,,,,,patch.com,Stand up comedy videos,http://www.liveinstyle.com/stand-up-comedy,,,
