Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39240,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39240 - # DIY Tips to Grow a Garden in Your Home,"500 words - Describe 3-6 DIY tips to help someone create a garden in their home, when they don&#039;t have enough space outdoors. These are tips for people who either live in a building or an area that has little or no yard space. Some ideas include growing plants on a window sill or hanging them from the ceiling. Also make sure to add in how controlling the temperature in the home is key for great plant growth. You can add in the client URL to explain to them the importance of regular maintenance for air conditioners. Please make sure to link to this blog post: &quot;http://merrittair.com/blog/dont-forget-plan-air-conditioner-maintenance-spring&quot; as your target URL. Do not link to the main client page.",http://www.planetnatural.com/growing-indoors/,http://www.rd.com/home/gardening/9-vegetables-to-grow-indoors/,http://www.farmanddairy.com/top-stories/grow-vegetables-indoors-winter/158817.html,yourwildhome.com,natural,http://merrittair.com/,,,
39241,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39241 - # Things You Need to Do Before Selling Your House,"500 words - Write 3-6 things someone needs to do before they want to sell their home. People selling homes often think about the appearance, and some go overboard with upgrades, spending too much money. Mention simple upgrades such as changing the knobs on drawers to painting rooms a neutral color. Also mention how some appliances may need replacing or repair before passing an inspection, and others can wait if they still work. Add the URL to mention heating and air condition systems break down over time and need either repairs or replacing. You can place the URL when discussing repairing your air conditioning system. Be sure to link to this blog post: &quot;http://winkair.com/blog/ac-trouble-dont-panic-try-simple-fixes&quot; as your target URL. Do NOT link to the main client page.",https://www.yahoo.com/realestate/news/good-and-bad-remodeling-projects-001950695.html?ref=gs,"http://www.thisoldhouse.com/toh/photos/0,,20787154,00.html",http://www.hgtv.com/design/real-estate/top-home-updates-that-pay-off-pictures,yourwildhome.com,natural,http://winkair.com/,,,
39242,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39242 - # Ways to Make Your House Feel New Again,"500 words – Discuss 3-6 ways that home owners can fall in love with their homes again and make the property feel like they just moved in. A few possible topics to include are having their air ducts cleaned, hiring a professional carpet or house cleaner, repainting the walls and rearranging or updating furniture and décor. The article’s target audience is home owners who are looking for easy and inexpensive ways to enjoy their homes more. The placement site talks about DIY projects and home décor, so be sure to focus on those topics. You can place your target URL when talking about having air ducts cleaned. Make sure to use this blog post: “http://grizzlehvac.com/articles/preventing-dirty-ductwork-protects-homes-hvac-equipment-indoor-air-quality” as your target URL. Do NOT link to the client&#039;s main page.",http://www.hgtv.com/design/rooms/living-and-dining-rooms/7-furniture-arrangement-tips-pictures,http://www.homeadvisor.com/article.show.The-Importance-of-Air-Duct-and-Vent-Cleaning.9804.html,http://www.monitor.co.ug/Magazines/HomesandProperty/Give-your-house-a-fresh-look/-/689858/3078688/-/c5b3vsz/-/index.html,scrapality.com,natural,http://grizzlehvac.com/,,,
39243,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39243 - # Ways to Prep Your Home for a New Season,"500 words – Discuss 3-6 ways that a home owner can prep their home for a change in season. Include tips that would be useful in any seasonal change, such as from summer to fall and also from winter to spring. A few possible topics to explore are changing a home’s air conditioning filter, checking windows for wear and tear and assessing the outdoor siding. Also mention different DIY projects, such as simple home remodeling. Things like painting walls, changing out the knobs on cabinet doors, or projects like building outdoor furniture for summer BBQs out of pallet wood, etc. You also talk about decorating for the season, with colored throw pillows, rugs or flowers.  The article’s target audience is home owners who want to keep their home in great shape and also enjoy home DIY projects and home decor. Be sure to link to this blog post: http://www.theairworx.com/blog/why-its-so-important-to-change-your-hvacs-filter as your target URL. Do NOT link to the http://www.theairworx.com/ URL. You can place the target URL in the section where you talk about replacing air conditioning filters as a way to prep your home for a new season.",https://www.homeyou.com/vinyl-siding-inspection-checklist,http://www.houselogic.com/home-advice/windows-doors/how-inspect-windows-doors-stop-air-and-water-leaks/,http://cutediyprojects.com/garden/20-diy-pallet-patio-furniture-tutorials-for-a-chic-and-practical-outdoor-patio/,scrapality.com,natural,http://www.theairworx.com/,,,
39244,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39244 - # Tricks Every Mom Needs To Know About Keeping Her Home Cooler in the Summer,"500 words. No one is happy in the summer when the house is hot. Everyone is crabby, cranky, and undesirable to be around. But running the AC all the time is expensive. List 3-6 tricks that moms need to know to keep their homes cooler, and keep everyone happy. Your target audience are moms and families. Be sure to link to this blog post: http://webrown.com/blog/3-things-homeowners-need-to-know-about-home-cooling as your target URL. Do NOT link to the “webrown.com” URL. You can place the link to this blog post in any section where you discuss how to keep the home cooler in the summer. ", http://greatist.com/happiness/tricks-to-sleep-in-the-heat,http://environmentvictoria.org.au/content/top-10-tips-keeping-cool,http://www.wikihow.com/Keep-Your-House-Cool-Without-an-Air-Conditioner,southernmomloves.com,natural,webrown.com,,,
39245,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39245 -  Transitioning Your Life From Winter to Spring,"500 words. List 3-6 different ways that could help someone transition their life from Winter to Spring. Be sure to include tips for ALL aspects of life. You can talk about updating your wardrobe, giving your room a simple makeover, changing out your air conditioning filters for the warmer weather and giving your home a good spring cleaning. Your target audience is women interested in style, beauty and DIY. Make sure you link to this blog post: http://www.weathermakers.com/blog/changing-hvac-air-filter-key-better-performance as your target URL. Do NOT link to the “weathermakers.com” URL. You can place your target URL in section where you talk about changing air conditioning filters and how it is important to do this for the changing season.",http://www.instyle.com/fashion/how-master-between-weatherstar-stylists-gallery,http://blog.balsamhill.com/2015/03/home-transition-from-winter-to-spring/,http://hiddenhillsroundup.com/10-simple-ways-transition-home-spring/,aprilgolightly.com,natural,weathermakers.com,,,
39246,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39246 - # Ways Moms Can Save Their Families Money on Air Conditioning,"500 Words. Summer is just around the corner, and soon it will be time to turn on the AC and increase your expenses. However, there are things that moms can do such as replacing filters regularly, having their air conditioning unit serviced, using a programmable thermostat, etc... that could save them money on their air conditioning bill each month. List 3-6 tips on how moms can help their family save. Your target audience are moms and families. You can place the target URL in the section where you talk about programmable thermostats. Be sure to link to this blog post: http://kearneyandsons.com/blog/programmable-thermostat-technology-for-new-and-existing-hvac-systems as your target URL. Do NOT link to the “kearneyandsons.com” URL.",http://www.ajperri.com/blog/6-ways-your-mom-saves-on-air-conditioning,http://www.familyhandyman.com/smart-homeowner/energy-saving-tips/how-to-save-energy-and-cut-cooling-costs/view-all,http://money.usnews.com/money/blogs/my-money/2014/07/20/8-steps-to-take-now-to-save-on-your-summer-air-conditioning-bill,southernmomloves.com,natural,kearneyandsons.com,,,
39247,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39247 - Prepping for Summer Early,"500 Words. List 3-6 different ways that someone could start prepping for summer early. You can discuss things like donating your winter clothes to clear out closet space for warm weather outfits, making sure your air conditioner is running properly in preparation for higher temperatures, setting up an outdoor seating area for warm summer nights or maybe even going for a lighter, shorter hair cut to match the season. Your target audience is women who are interested in style, beauty, DIY and entertainment.
You can place your client URL in the section where you talk about making sure your air conditioning system is working properly. Be sure to link to this blog post: http://tempcoheatingandac.com/air-conditioner-troubleshooting-techniques as the target URL. Do Not link to the “http://tempcoheatingandac.com/” URL.
",http://www.diyncrafts.com/6193/home/70-summery-backyard-diy-projects-borderline-genius,http://www.glamourmagazine.co.uk/beauty/hair-trends/2016/1/ss16-hair-looks-catwalk-trends-for-spring-summer,http://www.thedebrief.co.uk/style/fashion/how-to-clear-out-your-wardrobe-without-having-a-nervous-breakdown-20150644661,aprilgolightly.com,natural,http://tempcoheatingandac.com/,,,
39248,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39248 - # Ways to Give Your Home a Makeover This Spring ,"500 words. List 3-6 different ideas for simple home makeover projects. The placement site talks about re-purposing old furniture and other items to make them stylish and reusable for the home. You can list different DIY projects that can help someone get their home in tip top shape for the new season. You should discuss projects like turning old crates into benches or chairs, checking on air conditioning systems in prep for warmer weather, touching up the chipping paint in living or dining rooms, or sanding down and painting tables to bring them new life. Your target audience is people who like to re-purpose old materials and furniture and also enjoy DIY projects. You can place your target URL in the section where you talk about checking on air conditioning systems, to make sure they are working properly for warmer weather. Be sure to link to this blog post: “http://www.bodinescott.com/blog/4-signs-your-ac-needs-professional-maintenance” as your target URL. Do NOT link to the “bodinescott.com” URL. ",http://www.realtor.com/advice/home-improvement/6-quick-and-cheap-ways-to-give-your-home-a-spring-makeover/,http://www.popsugar.com/home/Easy-Spring-Decorating-Ideas-34343541,http://www.dailymail.co.uk/femail/article-2103462/How--home-spring-makeover-spending-time-money.html,alwaysneverdone.com,natural,bodinescott.com,,,
39276,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39276 - # Ideas for DIY Projects to Revamp Your Home This Summer,"500 words. List 3-6 different DIY projects that some could do to revamp their home this summer. Give examples like sealing and insulating your home to save on energy bills, painting a chalk wall in the kitchen, giving your bathroom cabinets a makeover, or reupholstering tired looking chairs. Your target audience is people who are interested in DIY and re-purposing projects for the home. You can place your target URL in the section where you talk about sealing and insulating your home. Make sure to use this blog post: http://www.joplins.net/articles/how-home-sealing-and-insulation-can-save-energy-dollars-this-summer as your target URL. Do NOT link to the &quot;joplins.net&quot; URL.",http://lookingflyonadime.com/3-diy-projects-to-revamp-your-home/,http://www.bhg.com/home-improvement/remodeling/budget-remodels/weekend-home-projects/,http://www.homedit.com/summer-home-diy-projects/,alwaysneverdone.com,natural,joplins.net,,,
