Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39574,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39574 - ,,,,,financialconversation.com,galaxy s7 long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
39576,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39576 - ,,,,,blogtrepreneur.com,"galaxy s7 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
39578,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39578 - ,,,,,allpeers.com,"samsung galaxy s7 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
39580,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39580 - ,,,,,androidheadlines.com,samsung galaxy s7 long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
39582,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39582 - ,,,,,livingthecollegelife.com,samsung galaxy s7 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7.html,,,
39585,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39585 - ,,,,,collegeblender.com,galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
39586,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39586 - ,,,,,cellphonebeat.com,galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
39587,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39587 - ,,,,,hackread.com,galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
39588,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39588 - ,,,,,userunfriendly.com,"galaxy s7 edge unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
39589,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39589 - ,,,,,vectorboom.com,galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
39591,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39591 - ,,,,,creativepublic.com,samsung galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,
