Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
37268,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37268 - 37268 - # Decorating Ideas for a Small Kitchen,"500 words: List 3-6 decorating ideas for a small kitchen. You can discuss using a mirrored or metallic backsplash to add style and make the room look bigger, wall storage or hanging storage, making the most out of your cabinets, etc. You can include the main client link when discussing apartment decor. Your audience consist of apartment dwellers who are looking to redecorate their kitchen.
",http://www.hgtv.com/design/rooms/kitchens/small-kitchen-decorating-ideas,http://freshome.com/small-kitchen-decorating-ideas/,http://www.elledecor.com/design-decorate/room-ideas/news/g2429/small-kitchen-roundup/,,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37269,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37269 - 37269 - # Smart Options for Decorating Small Spaces,"500 Words; List 3-6 options for decorating small spaces. This article will examine different options for decorating a small space such as a studio apartment. Ideas could include space savers such as floating bedside tables, or large mirrors to make the space look bigger. The main client link can be included anywhere in the article when discussing apartment decor. Gear this article toward men and women between the ages of 25-35 who are renovating or decorating a small space.
",http://www.hgtv.com/design/decorating/design-101/10-smart-design-ideas-for-small-spaces-pictures,http://www.realsimple.com/home-organizing/decorating/small-space-decorating-0,http://www.elledecor.com/design-decorate/room-ideas/advice/g2677/9-rules-worth-breaking-in-a-small-space/,,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37270,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,"37270 - 37270 - Big Plans, Small Spaces: Making the Most of Your Studio","500 Words; This article will discuss three to six ways to get the most out of a small space such as a studio apartment. May include renovating the kitchen, opting for a murphy bed, or taking advantage of unique storage options like hanging pots and pans. Incorporate the main client link when discussing the kitchen. Your audience consists of apartment owners/renters who are looking to make the most of their small space.
",http://www.thekitchn.com/8-space-saving-tricks-for-small-kitchens-kitchen-tour-211735,http://www.dwell.com/how/article/8-tactics-renovating-small-space,http://www.elledecor.com/small-space-solutions/,,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37271,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37271 - 37271 - # Best Kitchen Renovations for Your Apartment,"500 words; List 3-6 renovation and decorating ideas for smaller apartments and studios. Kitchens in studio apartments present specific challenges since the kitchen is typically part of the only room in the apartment. These ideas may include creative storage ideas, creating a division to create a separate space, or buying smaller appliances to make the most out of the small space. The main client link can be included anywhere when discussing apartment decor.
",http://www.hgtv.com/design/topics/small-kitchens,http://www.diynetwork.com/how-to/rooms-and-spaces/kitchen/8-ways-to-make-a-small-kitchen-sizzle,http://www.houzz.com/small-kitchen,,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37272,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37272 - 37272 - # Ways to Decorate Your Apartment on a Budget,"500 words: List 3-6 ways you can decorate your apartment on a budget. These can include using cheap and unique items, upgrading old items, repurposing items, etc. You can include the main client link anywhere when mentioning apartment decor. Your audience consists of DIYers and people on a budget who are renting or own an apartment.
",http://www.apartmenttherapy.com/decorating-on-a-budget-tips-from-the-pros-204068,http://www.popsugar.com/smart-living/Apartment-Decorating-Budget-25572166#photo-25572166,http://www.hgtv.com/design/decorating/design-101/15-budget-decorating-secrets-pictures,,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37273,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37273 - 37273 - # Simple Upgrades to Give Your Apartment Unique Style,"500 words - Explain that apartment dwellers have limitations on the changes they can make to their apartments, but they can decorate any way they want. Then, list 3-6 things that can make an apartment more stylish, such as new window treatments. Make sure to include something about adding new hardware to the cabinetry to include the secondary client link. Your audience is people who live in an apartment.
",http://www.mydomaine.com/surprising-styling-ideas,http://www.mydomaine.com/home-styling-tips,http://www.hgtv.com/shows/candice-tells-all/articles/create-a-livable-yet-stylish-home,,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37274,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37274 - 37274 - # Changes You Can Make to Your Apartment without Penalty,"500 words: Explain that when you live in an apartment, you&#039;re not usually allowed to remodel or make major changes. Then, list 3-6 changes that you can get away with. For instance, you can change the hardware on your kitchen cabinets as long as you keep the original hardware to reinstall when you leave. Other ideas include adding storage, changing the shower head, or decorating with rugs, curtains, etc. This is where you can include the main client link. Your audience is people who live in an apartment.
",http://www.moneytalksnews.com/9-ways-to-remodel-your-rental-without-breaking-your-lease/,http://www.chicagoalg.com/5-landlord-safe-apartment-changes/,n/a,,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37275,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37275 - 37275 - # Tips to Inspire Your Landlord to Make Apartment Upgrades,"500 words - Explain that landlords are often reluctant to make apartment upgrades, especially if they don&#039;t think they&#039;ll see a return on investment. Then, list 3-6 arguments that a tenant could use to inspire a landlord to make the upgrades. For the main target url you can include anywhere that you are mentioning apartment upgrades. Your audience is people who live in an apartment.
",http://www.apartmenttherapy.com/help-convince-hubby-and-landlord-apartment-needs-refreshing-good-questions-165902,http://realestate.aol.com/blog/2010/03/29/want-to-renovate-make-your-landlord-pay/,http://ohmyapt.apartmentratings.com/how-to-convince-your-landlord-to-upgrade-to-energy-efficient-appliances.html,,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37276,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37276 - 37276 - # Ways to Improve the Storage in Your Kitchen Cabinets,"500 words - Explain that apartments typically have small kitchens with limited cabinet space. Then, list 3-6 tips for improving kitchen storage. Some ideas include adding organizers inside cabinets to stack plates and cups, installing shelving on the inside of doors, and installing drawers under the sink. For the main target url, you can mention planning out your kitchen decor to include storage hardware. Make sure to include a disclaimer in your article that some things need to be cleared with your landlord first. Your audience includes people who live in an apartment or will be moving into an apartment.
",http://www.housebeautiful.com/lifestyle/organizing-tips/g1602/unique-kitchen-storage-ideas/,http://www.hgtv.com/design/rooms/kitchens/20-smart-kitchen-storage-ideas-pictures,http://www.architectureartdesigns.com/34-insanely-smart-diy-kitchen-storage-ideas/,aprilgolightly.com,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
37277,HomeDepot (Home Depot),Home Depot Blue Print,lcolarado1,Budget,37277 - 37277 - # Small Changes to Personalize Your Home,"500 words: List 3-6 small changes you can make in your home or apartment to make it more personalized. You can include info on removable wall paper or wall decals, window boxes, adding rugs or other accessories, etc. For the main client link, you can place it anywhere in the article while discussing apartment decor. Your audience includes people who live in an apartment that would like to change their decor.
",http://findinghomefarms.com/how-to-decorate-5-ways-personalize-your-home/,http://www.huffingtonpost.com/2014/01/11/decor-ideas-rental_n_4580495.html,n/a,scrapality.com,Natural,http://www.homes.com/real-estate/maximize-your-space/,,,
