Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
37588,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37588 - ,,,,,blogher.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37589,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37589 - ,,,,,realtytimes.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37590,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37590 - ,,,,,patch.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37591,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37591 - ,,,,,hometone.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37592,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37592 - ,,,,,budgetinginthefunstuff.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37594,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37594 - ,,,,,lazymanandmoney.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37595,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37595 - ,,,,,debtroundup.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37596,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37596 - ,,,,,wittysparks.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37598,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37598 - ,,,,,mytechlogy.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37599,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37599 - ,,,,,instablogs.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
