Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
,,,,,Where to Find a Beach Getaway in Florida This Winter,,hipmunk.com/Hotels-in-Fort-Myers-Beach-FL,hipmunk.com/Hotels-in-West-Palm-Beach-FL,hipmunk.com/Hotels-in-Pensacola-Beach-FL,hipmunk.com/Hotels-in-Daytona-Beach-FL,hipmunk.com/Hotels-in-Treasure-Island-FL,mouttaki,0.2,,
,,,,,Budget Hacks: Traveling in Greece for Cheap,,hipmunk.com/Hotels-in-Athens-Greece,hipmunk.com/Hotels-in-Santorini-Island-Greece,hipmunk.com/Hotels-in-Rhodes-Greece,hipmunk.com/Hotels-in-Mykonos-Greece,n/a,moutatki,0.2,,
,,,,,Why You Should Visit Indonesia ,,hipmunk.com/Hotels-in-Sanur-Indonesia,hipmunk.com/Hotels-in-Nusa-Dua-Indonesia,hipmunk.com/Hotels-in-Jimbaran-Indonesia,hipmunk.com/Hotels-in-Legian-Beach-Indonesia,hipmunk.com/Hotels-in-Ubud-Indonesia,jerrard,0.2,,
,,,,,Hungry in the UK? Try These # Regional Favorites,,hipmunk.com/Hotels-in-Oxford-United-Kingdom,hipmunk.com/Hotels-in-Glasgow-United-Kingdom,hipmunk.com/Hotels-in-Belfast-United-Kingdom,hipmunk.com/Hotels-in-Cork-Ireland,hipmunk.com/Hotels-in-Galway-Ireland,jerrard,0.2,,
,,,,,What to Do in France This Winter,,hipmunk.com/Hotels-in-Aix-en-Provence-France,hipmunk.com/Hotels-in-Chamonix-Mont-Blanc-France,hipmunk.com/Hotels-in-Marseille-France,hipmunk.com/Hotels-in-Tremblay-en-France-France,hipmunk.com/Hotels-in-Montpellier-France,jerrard,0.2,,
,,,,,Why You Should Head to Queensland This Winter,,hipmunk.com/Hotels-in-Port-Douglas-QLD,hipmunk.com/Hotels-in-Cairns-QLD,hipmunk.com/Hotels-in-Broadbeach-Waters-QLD,hipmunk.com/Hotels-in-Brisbane-QLD,n/a,schrader,0.3,,
,,,,,Where to Escape to in Spain,,hipmunk.com/Hotels-in-Ibiza-Spain,hipmunk.com/Hotels-in-San-Sebastian-Spain,hipmunk.com/Hotels-in-Sitges-Spain,hipmunk.com/Hotels-in-Bilbao-Spain,hipmunk.com/Hotels-in-Lloret-De-Mar-Spain,schrader,0.3,,
,,,,,Budget Hacks: Traveling in Japan for Cheap,,hipmunk.com/Hotels-in-Sapporo-Japan,hipmunk.com/Hotels-in-Fukuoka-Japan,hipmunk.com/Hotels-in-Osaka-Japan,hipmunk.com/Hotels-in-Kyoto-Japan,n/a,schrader,0.3,,
,,,,,Hungry in the Netherlands? Try These Essential Dishes,,hipmunk.com/Hotels-in-Rotterdam-Netherlands,hipmunk.com/Hotels-in-Hoofddorp-Netherlands,hipmunk.com/Hotels-in-The-Hague-Netherlands,hipmunk.com/Hotels-in-Schiphol-Netherlands,n/a,schrader,0.3,,
,,,,,Budget Hacks: Travelling in Portugal for Cheap,,hipmunk.com/Hotels-in-Porto-Portugal,hipmunk.com/Hotels-in-Cascais-Portugal,hipmunk.com/Hotels-in-Vilamoura-Portugal,hipmunk.com/Hotels-in-Albufeira-Portugal,hipmunk.com/Hotels-in-Funchal-Portugal,bradbeer,0.25,,
,,,,,Why You Should Visit Thailand This Winter,,hipmunk.com/Hotels-in-Ko-Phangan-Thailand,hipmunk.com/Hotels-in-Ko-Phi-Phi-Thailand,hipmunk.com/Hotels-in-Hua-Hin-Thailand,hipmunk.com/Hotels-in-Pattaya-Thailand,hipmunk.com/Hotels-in-Thalang-Thailand,bradbeer,0.25,,
,,,,,What to Do in Southern California This Winter,,hipmunk.com/Hotels-in-San-Rafael-CA,hipmunk.com/Hotels-in-Chula-Vista-CA,hipmunk.com/Hotels-in-El-Portal-CA,hipmunk.com/Hotels-in-Santa-Maria-CA,hipmunk.com/Hotels-in-Olympic-Valley-CA,bradbeer,0.25,,
,,,,,The Unforgettables: What You Need to Pack for a Trip to Germany,,hipmunk.com/Hotels-in-Hanover-Germany,hipmunk.com/Hotels-in-Heidelberg-Germany,hipmunk.com/Hotels-in-Leipzig-Germany,hipmunk.com/Hotels-in-Stuttgart-Germany,hipmunk.com/Hotels-in-Nuremberg-Germany,bradbeer,0.25,,
,,,,,Why You Should Visit France This February,,hipmunk.com/Hotels-in-Boulogne-Billancourt-France,hipmunk.com/Hotels-in-Chessy-France,hipmunk.com/Hotels-in-Courbevoie-France,hipmunk.com/Hotels-in-Avignon-France,hipmunk.com/Hotels-in-Antibes-France,irwin,0.15,,
