Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
42498,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42498 - ,,,,,androidspin.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
42499,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42499 - ,,,,,techlila.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
42500,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42500 - ,,,,,gizmofusion.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
42501,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42501 - ,,,,,theadbuzz.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
42507,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42507 - ,,,,,sociable.co,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/7-sharepoint-online-security-best-practices/,,,
42508,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42508 - ,,,,,visualcontenting.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
42509,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42509 - ,,,,,sitepronews.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
42510,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42510 - ,,,,,anblik.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
42511,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42511 - ,,,,,techshout.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
42512,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42512 - ,,,,,techchunks.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
